personSsn,accountNumber,isPrimary
132-22-6410,ACCT00000168,true
451-18-1368,ACCT00000169,true
778-52-5214,ACCT00000170,true
239-28-5418,ACCT00000171,true
677-61-4647,ACCT00000172,true
825-95-2348,ACCT00000173,true
513-71-3412,ACCT00000174,true
293-60-4241,ACCT00000175,true
256-21-1459,ACCT00000176,true
612-77-9275,ACCT00000177,true
428-35-8741,ACCT00000178,true
176-27-4371,ACCT00000179,true
350-15-8559,ACCT00000180,true
301-99-9349,ACCT00000181,true
498-44-6621,ACCT00000182,true
161-60-1187,ACCT00000183,true
925-69-2553,ACCT00000184,true
828-99-3399,ACCT00000185,true
285-62-9556,ACCT00000186,true
360-12-3782,ACCT00000187,true
522-34-8908,ACCT00000188,true
178-66-2971,ACCT00000189,true
300-52-3358,ACCT00000190,true
124-50-3597,ACCT00000191,true
587-10-7522,ACCT00000192,true
435-66-4786,ACCT00000193,true
441-83-1654,ACCT00000194,true
930-99-3959,ACCT00000195,true
501-18-1522,ACCT00000196,true
586-85-8368,ACCT00000197,true
556-78-5663,ACCT00000198,true
924-31-3285,ACCT00000199,true
292-80-8527,ACCT00000200,true
371-50-9171,ACCT00000201,true
782-41-1033,ACCT00000202,true
408-88-6262,ACCT00000203,true
841-12-5533,ACCT00000204,true
317-46-3847,ACCT00000205,true
334-17-4208,ACCT00000206,true
120-46-3188,ACCT00000207,true
497-52-1898,ACCT00000208,true
236-30-6656,ACCT00000209,true
527-41-1814,ACCT00000210,true
439-84-9137,ACCT00000211,true
316-45-8354,ACCT00000212,true
585-24-7077,ACCT00000213,true
582-65-8059,ACCT00000214,true
627-50-4044,ACCT00000215,true
339-80-3840,ACCT00000216,true
391-94-4752,ACCT00000217,true
331-68-6929,ACCT00000218,true
480-14-9863,ACCT00000219,true
585-88-9587,ACCT00000220,true
298-82-7395,ACCT00000221,true
950-13-7225,ACCT00000222,true
282-88-7878,ACCT00000223,true
119-77-2544,ACCT00000224,true
826-64-1909,ACCT00000225,true
918-33-4481,ACCT00000226,true
533-87-3090,ACCT00000227,true
951-75-5479,ACCT00000228,true
886-28-6903,ACCT00000229,true
173-48-4761,ACCT00000230,true
398-91-6827,ACCT00000231,true
253-30-9560,ACCT00000232,true
816-80-5538,ACCT00000233,true
360-49-2939,ACCT00000234,true
247-51-9064,ACCT00000235,true
135-58-7644,ACCT00000236,true
859-98-8527,ACCT00000237,true
649-66-6821,ACCT00000238,true
768-21-7327,ACCT00000239,true
224-11-6953,ACCT00000240,true
365-35-9759,ACCT00000241,true
748-62-8759,ACCT00000242,true
378-57-5750,ACCT00000243,true
533-87-1925,ACCT00000244,true
737-52-7543,ACCT00000245,true
730-36-2233,ACCT00000246,true
345-15-1909,ACCT00000247,true
242-18-4779,ACCT00000248,true
599-60-7858,ACCT00000249,true
486-96-6534,ACCT00000250,true
113-35-7793,ACCT00000251,true
583-86-3949,ACCT00000252,true
550-25-7403,ACCT00000253,true
340-26-7434,ACCT00000254,true
758-55-8252,ACCT00000255,true
828-11-7167,ACCT00000256,true
497-52-6738,ACCT00000257,true
681-51-7671,ACCT00000258,true
980-77-4181,ACCT00000259,true
542-84-8207,ACCT00000260,true
183-76-2713,ACCT00000261,true
874-90-8740,ACCT00000262,true
285-76-7824,ACCT00000263,true
633-76-7370,ACCT00000264,true
156-20-9919,ACCT00000265,true
473-97-9897,ACCT00000266,true
983-85-1920,ACCT00000267,true
696-41-1480,ACCT00000268,true
862-90-1808,ACCT00000269,true
590-30-4400,ACCT00000270,true
762-83-3385,ACCT00000271,true
618-83-9887,ACCT00000272,true
554-75-5624,ACCT00000273,true
862-46-8858,ACCT00000274,true
342-94-2052,ACCT00000275,true
399-24-2941,ACCT00000276,true
462-84-5527,ACCT00000277,true
977-15-7842,ACCT00000278,true
681-95-9320,ACCT00000279,true
180-88-8998,ACCT00000280,true
994-14-8708,ACCT00000281,true
144-65-3936,ACCT00000282,true
816-73-1469,ACCT00000283,true
586-54-6798,ACCT00000284,true
947-19-3306,ACCT00000285,true
877-14-2725,ACCT00000286,true
703-67-1720,ACCT00000287,true
955-70-4932,ACCT00000288,true
719-47-6651,ACCT00000289,true
279-69-3666,ACCT00000290,true
226-34-3203,ACCT00000291,true
707-13-6342,ACCT00000292,true
120-82-5215,ACCT00000293,true
579-26-2666,ACCT00000294,true
672-69-1592,ACCT00000295,true
753-89-3896,ACCT00000296,true
143-12-4664,ACCT00000297,true
329-33-8137,ACCT00000298,true
117-11-8972,ACCT00000299,true
339-66-1320,ACCT00000300,true
713-36-6888,ACCT00000301,true
430-50-2650,ACCT00000302,true
678-35-5615,ACCT00000303,true
786-92-2423,ACCT00000304,true
388-19-5955,ACCT00000305,true
901-76-1736,ACCT00000306,true
146-99-7245,ACCT00000307,true
293-94-3228,ACCT00000308,true
828-71-9232,ACCT00000309,true
634-69-1610,ACCT00000310,true
778-24-6073,ACCT00000311,true
109-55-9179,ACCT00000312,true
633-99-3606,ACCT00000313,true
939-42-5048,ACCT00000314,true
671-14-3034,ACCT00000315,true
718-53-6436,ACCT00000316,true
795-56-5188,ACCT00000317,true
764-47-2673,ACCT00000318,true
761-23-8637,ACCT00000319,true
206-65-1873,ACCT00000320,true
521-36-9648,ACCT00000321,true
815-45-6392,ACCT00000322,true
110-13-6775,ACCT00000323,true
369-27-2033,ACCT00000324,true
390-49-6309,ACCT00000325,true
485-81-4359,ACCT00000326,true
874-87-6917,ACCT00000327,true
662-16-3088,ACCT00000328,true
326-79-6814,ACCT00000329,true
687-84-8471,ACCT00000330,true
986-44-7366,ACCT00000331,true
718-11-2987,ACCT00000332,true
916-44-8225,ACCT00000333,true
863-99-6580,ACCT00000334,true
135-68-4399,ACCT00000335,true
994-38-5931,ACCT00000336,true
247-62-8436,ACCT00000337,true
670-23-1349,ACCT00000338,true
209-19-4635,ACCT00000339,true
681-38-2218,ACCT00000340,true
799-30-9061,ACCT00000341,true
981-74-1214,ACCT00000342,true
156-16-8511,ACCT00000343,true
472-87-3863,ACCT00000344,true
978-47-7624,ACCT00000345,true
234-33-2442,ACCT00000346,true
901-76-2415,ACCT00000347,true
675-14-5302,ACCT00000348,true
961-39-1653,ACCT00000349,true
222-74-5847,ACCT00000350,true
832-82-1916,ACCT00000351,true
323-61-5521,ACCT00000352,true
781-18-2116,ACCT00000353,true
259-98-1903,ACCT00000354,true
854-31-4081,ACCT00000355,true
222-41-4988,ACCT00000356,true
927-34-7212,ACCT00000357,true
417-19-3653,ACCT00000358,true
234-29-2887,ACCT00000359,true
858-92-1341,ACCT00000360,true
608-50-7085,ACCT00000361,true
233-81-5357,ACCT00000362,true
803-22-1675,ACCT00000363,true
703-59-1496,ACCT00000364,true
610-19-7386,ACCT00000365,true
353-43-2680,ACCT00000366,true
590-49-4523,ACCT00000367,true
944-66-1431,ACCT00000368,true
134-68-6227,ACCT00000369,true
484-70-4031,ACCT00000370,true
827-63-8090,ACCT00000371,true
240-92-7375,ACCT00000372,true
906-59-8191,ACCT00000373,true
350-37-3302,ACCT00000374,true
467-97-3803,ACCT00000375,true
867-51-2023,ACCT00000376,true
894-93-3478,ACCT00000377,true
308-64-2113,ACCT00000378,true
264-50-8939,ACCT00000379,true
376-34-1166,ACCT00000380,true
870-23-1563,ACCT00000381,true
278-73-7762,ACCT00000382,true
226-21-6102,ACCT00000383,true
958-67-4231,ACCT00000384,true
777-52-2360,ACCT00000385,true
155-70-5485,ACCT00000386,true
642-71-6726,ACCT00000387,true
824-43-5901,ACCT00000388,true
684-33-8931,ACCT00000389,true
810-55-9486,ACCT00000390,true
950-99-4965,ACCT00000391,true
414-86-4067,ACCT00000392,true
632-98-1798,ACCT00000393,true
715-90-6417,ACCT00000394,true
338-15-4418,ACCT00000395,true
897-19-3692,ACCT00000396,true
137-51-7593,ACCT00000397,true
157-46-9009,ACCT00000398,true
604-91-5224,ACCT00000399,true
729-73-7453,ACCT00000400,true
187-73-4015,ACCT00000401,true
104-11-5246,ACCT00000402,true
219-53-4471,ACCT00000403,true
320-87-8621,ACCT00000404,true
367-73-5873,ACCT00000405,true
740-33-8695,ACCT00000406,true
739-60-1484,ACCT00000407,true
487-63-6598,ACCT00000408,true
938-36-3205,ACCT00000409,true
816-85-2297,ACCT00000410,true
234-70-6642,ACCT00000411,true
933-50-8199,ACCT00000412,true
758-71-5253,ACCT00000413,true
234-36-3679,ACCT00000414,true
755-45-3071,ACCT00000415,true
947-19-9638,ACCT00000416,true
553-48-2214,ACCT00000417,true
552-22-9183,ACCT00000418,true
264-79-6897,ACCT00000419,true
317-62-1751,ACCT00000420,true
358-22-1815,ACCT00000421,true
550-60-2969,ACCT00000422,true
198-34-3190,ACCT00000423,true
155-19-5215,ACCT00000424,true
259-66-4999,ACCT00000425,true
169-54-6988,ACCT00000426,true
109-71-1390,ACCT00000427,true
678-82-2758,ACCT00000428,true
857-99-6924,ACCT00000429,true
682-52-1161,ACCT00000430,true
903-60-6322,ACCT00000431,true
840-43-6647,ACCT00000432,true
176-83-4199,ACCT00000433,true
120-23-7659,ACCT00000434,true
125-45-6487,ACCT00000435,true
398-75-2990,ACCT00000436,true
623-21-2791,ACCT00000437,true
984-84-2633,ACCT00000438,true
631-84-9107,ACCT00000439,true
128-90-8024,ACCT00000440,true
298-70-1028,ACCT00000441,true
574-20-3660,ACCT00000442,true
330-36-9442,ACCT00000443,true
354-37-1585,ACCT00000444,true
443-95-9764,ACCT00000445,true
765-25-1465,ACCT00000446,true
294-75-1942,ACCT00000447,true
176-84-3995,ACCT00000448,true
535-45-8897,ACCT00000449,true
467-42-9871,ACCT00000450,true
468-42-2205,ACCT00000451,true
521-42-8750,ACCT00000452,true
601-54-5386,ACCT00000453,true
414-58-4587,ACCT00000454,true
872-85-7580,ACCT00000455,true
442-64-5773,ACCT00000456,true
941-85-1568,ACCT00000457,true
777-17-1823,ACCT00000458,true
936-86-3820,ACCT00000459,true
402-11-6733,ACCT00000460,true
602-48-8258,ACCT00000461,true
384-67-5792,ACCT00000462,true
912-32-8545,ACCT00000463,true
458-87-6752,ACCT00000464,true
424-55-1969,ACCT00000465,true
250-65-8109,ACCT00000466,true
998-96-9773,ACCT00000467,true
823-11-2320,ACCT00000468,true
903-59-5413,ACCT00000469,true
496-27-7184,ACCT00000470,true
559-26-8073,ACCT00000471,true
454-99-3339,ACCT00000472,true
753-29-2478,ACCT00000473,true
389-56-1437,ACCT00000474,true
452-23-6331,ACCT00000475,true
731-96-1106,ACCT00000476,true
306-98-4508,ACCT00000477,true
663-33-1455,ACCT00000478,true
550-10-2187,ACCT00000479,true
894-43-4063,ACCT00000480,true
740-24-9898,ACCT00000481,true
668-55-3175,ACCT00000482,true
592-39-7985,ACCT00000483,true
793-80-7500,ACCT00000484,true
687-21-5727,ACCT00000485,true
683-92-8843,ACCT00000486,true
413-25-2145,ACCT00000487,true
536-16-8978,ACCT00000488,true
643-48-2658,ACCT00000489,true
188-11-6698,ACCT00000490,true
412-75-6514,ACCT00000491,true
560-36-1860,ACCT00000492,true
210-42-1891,ACCT00000493,true
357-61-8120,ACCT00000494,true
878-83-6491,ACCT00000495,true
512-27-2181,ACCT00000496,true
482-49-5053,ACCT00000497,true
440-54-8953,ACCT00000498,true
284-35-9689,ACCT00000499,true
468-32-6987,ACCT00000500,true
340-88-1413,ACCT00000501,true
499-47-7295,ACCT00000502,true
145-81-8420,ACCT00000503,true
151-10-5919,ACCT00000504,true
436-91-4137,ACCT00000505,true
513-45-8020,ACCT00000506,true
923-24-5639,ACCT00000507,true
126-44-4751,ACCT00000508,true
661-42-1249,ACCT00000509,true
203-30-6480,ACCT00000510,true
951-89-5056,ACCT00000511,true
674-42-6976,ACCT00000512,true
454-67-1183,ACCT00000513,true
125-23-9080,ACCT00000514,true
449-42-9209,ACCT00000515,true
480-61-5886,ACCT00000516,true
343-51-3405,ACCT00000517,true
254-13-8218,ACCT00000518,true
538-46-1926,ACCT00000519,true
393-48-2448,ACCT00000520,true
354-90-2933,ACCT00000521,true
333-96-6250,ACCT00000522,true
979-66-8335,ACCT00000523,true
411-52-5987,ACCT00000524,true
914-97-6587,ACCT00000525,true
450-28-4596,ACCT00000526,true
868-28-7609,ACCT00000527,true
328-87-5359,ACCT00000528,true
129-16-5327,ACCT00000529,true
189-44-6455,ACCT00000530,true
243-56-1525,ACCT00000531,true
163-33-3302,ACCT00000532,true
354-26-7071,ACCT00000533,true
966-24-6210,ACCT00000534,true
272-49-4542,ACCT00000535,true
213-36-1674,ACCT00000536,true
562-60-2570,ACCT00000537,true
691-27-1395,ACCT00000538,true
821-51-7115,ACCT00000539,true
311-67-9911,ACCT00000540,true
185-29-1630,ACCT00000541,true
888-30-6372,ACCT00000542,true
383-13-3954,ACCT00000543,true
598-35-9695,ACCT00000544,true
748-97-6645,ACCT00000545,true
168-25-4014,ACCT00000546,true
309-77-3521,ACCT00000547,true
554-55-3504,ACCT00000548,true
386-72-9062,ACCT00000549,true
823-80-3506,ACCT00000550,true
554-39-7010,ACCT00000551,true
388-62-4033,ACCT00000552,true
207-85-9744,ACCT00000553,true
985-34-2882,ACCT00000554,true
884-67-1040,ACCT00000555,true
518-77-2857,ACCT00000556,true
732-29-9779,ACCT00000557,true
356-94-7144,ACCT00000558,true
909-86-6544,ACCT00000559,true
911-87-9595,ACCT00000560,true
453-76-9134,ACCT00000561,true
997-43-5899,ACCT00000562,true
256-30-5726,ACCT00000563,true
134-90-5902,ACCT00000564,true
673-20-5578,ACCT00000565,true
364-20-8776,ACCT00000566,true
521-54-8312,ACCT00000567,true
272-82-1020,ACCT00000568,true
237-10-3515,ACCT00000569,true
741-97-8248,ACCT00000570,true
420-65-7364,ACCT00000571,true
754-54-8447,ACCT00000572,true
745-48-5166,ACCT00000573,true
736-19-7301,ACCT00000574,true
647-18-5906,ACCT00000575,true
980-35-6466,ACCT00000576,true
762-66-9273,ACCT00000577,true
457-92-4451,ACCT00000578,true
561-80-4484,ACCT00000579,true
393-39-1611,ACCT00000580,true
342-27-2475,ACCT00000581,true
654-38-2786,ACCT00000582,true
816-13-2188,ACCT00000583,true
555-54-7499,ACCT00000584,true
489-12-7248,ACCT00000585,true
464-87-4635,ACCT00000586,true
328-92-2581,ACCT00000587,true
465-77-4633,ACCT00000588,true
363-75-5373,ACCT00000589,true
125-26-1592,ACCT00000590,true
908-16-8614,ACCT00000591,true
286-23-1633,ACCT00000592,true
541-97-8500,ACCT00000593,true
270-47-1173,ACCT00000594,true
663-58-5810,ACCT00000595,true
716-78-6897,ACCT00000596,true
862-50-3660,ACCT00000597,true
559-67-9911,ACCT00000598,true
709-92-1548,ACCT00000599,true
599-53-7064,ACCT00000600,true
856-51-4437,ACCT00000601,true
465-42-5638,ACCT00000602,true
320-13-8602,ACCT00000603,true
205-30-9413,ACCT00000604,true
777-66-8331,ACCT00000605,true
137-53-8242,ACCT00000606,true
574-26-4003,ACCT00000607,true
869-66-5695,ACCT00000608,true
330-55-1187,ACCT00000609,true
654-31-1973,ACCT00000610,true
294-77-9963,ACCT00000611,true
962-56-5927,ACCT00000612,true
616-57-4182,ACCT00000613,true
430-22-9406,ACCT00000614,true
956-34-9841,ACCT00000615,true
340-76-4544,ACCT00000616,true
361-53-9191,ACCT00000617,true
383-70-5878,ACCT00000618,true
861-84-1537,ACCT00000619,true
253-42-8585,ACCT00000620,true
875-82-7876,ACCT00000621,true
415-91-6395,ACCT00000622,true
822-19-6737,ACCT00000623,true
465-17-9642,ACCT00000624,true
669-15-5278,ACCT00000625,true
240-67-8705,ACCT00000626,true
587-22-2161,ACCT00000627,true
694-45-8092,ACCT00000628,true
130-75-7527,ACCT00000629,true
998-93-2075,ACCT00000630,true
187-49-1710,ACCT00000631,true
695-42-2615,ACCT00000632,true
490-19-1524,ACCT00000633,true
868-46-8891,ACCT00000634,true
207-32-4508,ACCT00000635,true
521-46-2170,ACCT00000636,true
141-53-6658,ACCT00000637,true
689-17-5025,ACCT00000638,true
883-24-7235,ACCT00000639,true
172-44-6210,ACCT00000640,true
605-88-5222,ACCT00000641,true
684-24-6245,ACCT00000642,true
783-71-4363,ACCT00000643,true
152-67-8976,ACCT00000644,true
856-32-8102,ACCT00000645,true
639-12-6721,ACCT00000646,true
913-84-3785,ACCT00000647,true
724-82-2491,ACCT00000648,true
950-31-7012,ACCT00000649,true
752-13-8803,ACCT00000650,true
683-49-7991,ACCT00000651,true
727-78-5096,ACCT00000652,true
274-94-9558,ACCT00000653,true
275-26-5229,ACCT00000654,true
959-90-1088,ACCT00000655,true
512-74-9355,ACCT00000656,true
611-96-6262,ACCT00000657,true
466-54-7684,ACCT00000658,true
440-24-2676,ACCT00000659,true
723-56-2459,ACCT00000660,true
752-89-8334,ACCT00000661,true
343-54-3699,ACCT00000662,true
594-36-7410,ACCT00000663,true
330-85-2679,ACCT00000664,true
655-56-1966,ACCT00000665,true
700-43-3574,ACCT00000666,true
300-20-5437,ACCT00000667,true
880-77-5789,ACCT00000668,true
688-18-2352,ACCT00000669,true
142-66-5797,ACCT00000670,true
526-68-5875,ACCT00000671,true
450-28-8872,ACCT00000672,true
635-76-1115,ACCT00000673,true
408-28-6515,ACCT00000674,true
232-99-9416,ACCT00000675,true
410-82-5393,ACCT00000676,true
694-45-2478,ACCT00000677,true
586-19-6763,ACCT00000678,true
611-53-5305,ACCT00000679,true
488-27-8167,ACCT00000680,true
106-32-8128,ACCT00000681,true
635-22-4641,ACCT00000682,true
199-46-9860,ACCT00000683,true
939-30-6181,ACCT00000684,true
330-25-8230,ACCT00000685,true
756-84-9548,ACCT00000686,true
529-12-7536,ACCT00000687,true
145-76-7243,ACCT00000688,true
525-13-4863,ACCT00000689,true
287-61-5985,ACCT00000690,true
974-72-5604,ACCT00000691,true
114-41-6319,ACCT00000692,true
122-57-4748,ACCT00000693,true
543-76-7476,ACCT00000694,true
194-49-2152,ACCT00000695,true
881-62-3768,ACCT00000696,true
260-37-3067,ACCT00000697,true
131-84-6069,ACCT00000698,true
632-36-1834,ACCT00000699,true
408-83-7994,ACCT00000700,true
902-16-2588,ACCT00000701,true
832-75-8582,ACCT00000702,true
549-53-4628,ACCT00000703,true
828-67-2548,ACCT00000704,true
418-55-9626,ACCT00000705,true
346-90-7773,ACCT00000706,true
921-87-9528,ACCT00000707,true
752-82-8416,ACCT00000708,true
721-71-3845,ACCT00000709,true
253-34-7959,ACCT00000710,true
375-22-5224,ACCT00000711,true
304-19-9518,ACCT00000712,true
484-98-4086,ACCT00000713,true
495-11-3365,ACCT00000714,true
529-32-5284,ACCT00000715,true
952-45-5072,ACCT00000716,true
948-62-4937,ACCT00000717,true
697-52-1114,ACCT00000718,true
887-22-3719,ACCT00000719,true
279-42-2867,ACCT00000720,true
654-96-8222,ACCT00000721,true
192-82-2515,ACCT00000722,true
397-85-2006,ACCT00000723,true
560-82-9079,ACCT00000724,true
553-79-6589,ACCT00000725,true
410-71-1497,ACCT00000726,true
260-55-8756,ACCT00000727,true
733-40-6609,ACCT00000728,true
450-98-6882,ACCT00000729,true
667-22-8612,ACCT00000730,true
309-54-6891,ACCT00000731,true
180-25-7462,ACCT00000732,true
484-57-1368,ACCT00000733,true
315-39-8222,ACCT00000734,true
564-61-7856,ACCT00000735,true
864-75-6022,ACCT00000736,true
805-84-7755,ACCT00000737,true
859-54-5988,ACCT00000738,true
746-47-8650,ACCT00000739,true
429-65-9962,ACCT00000740,true
714-39-2141,ACCT00000741,true
667-26-8537,ACCT00000742,true
382-11-8720,ACCT00000743,true
357-70-3538,ACCT00000744,true
854-90-2457,ACCT00000745,true
786-79-1894,ACCT00000746,true
461-71-7428,ACCT00000747,true
638-87-4742,ACCT00000748,true
343-31-2334,ACCT00000749,true
874-12-9155,ACCT00000750,true
729-55-5638,ACCT00000751,true
895-45-4873,ACCT00000752,true
436-40-7125,ACCT00000753,true
532-27-8424,ACCT00000754,true
794-87-6613,ACCT00000755,true
454-81-6611,ACCT00000756,true
928-75-3924,ACCT00000757,true
479-21-2600,ACCT00000758,true
640-57-2963,ACCT00000759,true
401-62-7405,ACCT00000760,true
173-84-7879,ACCT00000761,true
217-97-3236,ACCT00000762,true
279-80-8167,ACCT00000763,true
227-97-4735,ACCT00000764,true
774-20-7552,ACCT00000765,true
727-73-5653,ACCT00000766,true
525-98-5459,ACCT00000767,true
601-10-2285,ACCT00000768,true
753-64-1548,ACCT00000769,true
592-57-8735,ACCT00000770,true
367-10-5754,ACCT00000771,true
422-29-6794,ACCT00000772,true
184-16-2815,ACCT00000773,true
523-96-1527,ACCT00000774,true
211-82-1169,ACCT00000775,true
842-67-2820,ACCT00000776,true
875-14-3494,ACCT00000777,true
613-21-5757,ACCT00000778,true
324-97-4582,ACCT00000779,true
639-19-1770,ACCT00000780,true
834-87-3477,ACCT00000781,true
648-79-9720,ACCT00000782,true
231-67-2912,ACCT00000783,true
845-20-8451,ACCT00000784,true
923-72-4146,ACCT00000785,true
532-23-8442,ACCT00000786,true
892-82-8071,ACCT00000787,true
882-57-9462,ACCT00000788,true
521-27-1342,ACCT00000789,true
270-31-1712,ACCT00000790,true
167-20-8852,ACCT00000791,true
650-75-3917,ACCT00000792,true
917-89-8682,ACCT00000793,true
137-77-3161,ACCT00000794,true
841-75-5478,ACCT00000795,true
261-46-5026,ACCT00000796,true
105-45-4662,ACCT00000797,true
903-30-4401,ACCT00000798,true
421-92-2294,ACCT00000799,true
290-40-7009,ACCT00000800,true
286-12-5240,ACCT00000801,true
545-67-9867,ACCT00000802,true
877-38-3742,ACCT00000803,true
872-51-7075,ACCT00000804,true
996-35-4281,ACCT00000805,true
203-82-1776,ACCT00000806,true
799-14-2897,ACCT00000807,true
591-49-6285,ACCT00000808,true
689-27-2609,ACCT00000809,true
751-23-3167,ACCT00000810,true
985-38-7034,ACCT00000811,true
605-64-6663,ACCT00000812,true
908-68-4664,ACCT00000813,true
770-30-2195,ACCT00000814,true
977-43-5973,ACCT00000815,true
504-64-4005,ACCT00000816,true
209-94-3948,ACCT00000817,true
757-51-9991,ACCT00000818,true
399-87-7327,ACCT00000819,true
836-18-5632,ACCT00000820,true
750-44-1714,ACCT00000821,true
