person1Ssn,person2Ssn
148-76-6389,829-29-1746
609-91-7125,484-97-5457
484-97-5457,609-91-7125
461-56-7312,720-58-9607
720-58-9607,461-56-7312
843-37-5697,915-94-8801
915-94-8801,843-37-5697
133-68-2619,346-78-5830
346-78-5830,133-68-2619
322-81-2872,408-53-3538
408-53-3538,322-81-2872
307-40-9441,992-40-6232
992-40-6232,307-40-9441
717-38-3375,952-71-4809
952-71-4809,717-38-3375
500-85-1780,558-79-6801
558-79-6801,500-85-1780
859-88-8585,219-51-7854
219-51-7854,859-88-8585
426-54-7494,960-10-9576
960-10-9576,426-54-7494
434-29-2593,484-91-4631
484-91-4631,434-29-2593
511-80-7631,605-33-1508
605-33-1508,511-80-7631
456-63-8312,659-50-9836
659-50-9836,456-63-8312
319-45-4378,580-27-7638
580-27-7638,319-45-4378
927-87-8205,772-96-5085
772-96-5085,927-87-8205
582-73-3552,401-46-9536
401-46-9536,582-73-3552
148-72-6849,932-71-1537
932-71-1537,148-72-6849
425-98-6367,457-81-3303
457-81-3303,425-98-6367
256-28-5526,691-56-9792
691-56-9792,256-28-5526
145-62-2236,943-67-8277
943-67-8277,145-62-2236
199-11-5417,898-39-9428
898-39-9428,199-11-5417
760-25-6615,347-31-9645
347-31-9645,760-25-6615
403-51-5904,926-30-8055
926-30-8055,403-51-5904
655-31-3306,284-80-3756
284-80-3756,655-31-3306
311-22-3952,427-95-5175
427-95-5175,311-22-3952
844-27-5529,535-32-1357
535-32-1357,844-27-5529
189-27-1047,634-78-6511
634-78-6511,189-27-1047
411-93-1419,941-14-5709
941-14-5709,411-93-1419
789-65-5152,932-71-9205
932-71-9205,789-65-5152
610-14-4184,705-25-1599
705-25-1599,610-14-4184
122-93-4286,601-71-4640
601-71-4640,122-93-4286
714-63-6946,859-72-5087
859-72-5087,714-63-6946
621-68-6533,916-99-5132
916-99-5132,621-68-6533
823-33-6062,383-48-1635
383-48-1635,823-33-6062
795-10-9392,620-24-9609
620-24-9609,795-10-9392
637-57-6670,502-17-9987
502-17-9987,637-57-6670
768-21-6622,549-43-9434
549-43-9434,768-21-6622
735-27-8828,161-20-3960
161-20-3960,735-27-8828
430-20-3652,919-91-3876
919-91-3876,430-20-3652
165-48-3735,547-95-1869
547-95-1869,165-48-3735
822-47-7197,941-58-4866
941-58-4866,822-47-7197
155-86-9458,127-64-2280
127-64-2280,155-86-9458
814-56-3521,164-90-7585
164-90-7585,814-56-3521
904-88-4865,898-73-2931
898-73-2931,904-88-4865
325-68-5974,211-54-3114
211-54-3114,325-68-5974
542-79-1093,787-19-7142
787-19-7142,542-79-1093
176-67-1947,517-60-9011
517-60-9011,176-67-1947
222-78-9815,800-96-3650
800-96-3650,222-78-9815
849-97-8816,321-54-6666
321-54-6666,849-97-8816
735-79-5813,158-69-1962
158-69-1962,735-79-5813
881-82-9239,600-60-5475
600-60-5475,881-82-9239
103-50-2493,405-59-6238
405-59-6238,103-50-2493
912-83-2362,303-59-5356
303-59-5356,912-83-2362
402-14-8568,146-82-7620
146-82-7620,402-14-8568
194-30-2867,276-23-2736
276-23-2736,194-30-2867
678-37-1227,691-65-4009
691-65-4009,678-37-1227
237-72-2076,578-90-4120
578-90-4120,237-72-2076
347-37-2724,935-52-2494
935-52-2494,347-37-2724
254-95-8747,996-52-6546
996-52-6546,254-95-8747
221-68-8953,931-96-3535
931-96-3535,221-68-8953
465-53-8362,396-21-8814
396-21-8814,465-53-8362
569-39-4430,809-14-2604
809-14-2604,569-39-4430
328-68-4593,782-31-6631
782-31-6631,328-68-4593
492-93-1536,503-30-6695
503-30-6695,492-93-1536
993-32-8235,801-84-4384
801-84-4384,993-32-8235
793-67-3664,390-97-8322
390-97-8322,793-67-3664
919-20-2857,893-44-3241
893-44-3241,919-20-2857
163-69-8181,423-80-1665
423-80-1665,163-69-8181
264-91-8215,758-89-3344
758-89-3344,264-91-8215
505-71-5843,463-33-4070
463-33-4070,505-71-5843
290-77-4893,617-42-8123
617-42-8123,290-77-4893
512-73-7221,362-74-7260
362-74-7260,512-73-7221
365-88-7236,411-70-3096
411-70-3096,365-88-7236
870-27-6196,424-82-7970
424-82-7970,870-27-6196
125-18-2489,310-24-5526
310-24-5526,125-18-2489
661-34-1268,959-57-9709
959-57-9709,661-34-1268
120-84-9962,829-94-6524
829-94-6524,120-84-9962
531-43-1053,964-11-8519
964-11-8519,531-43-1053
837-85-5163,426-48-4262
426-48-4262,837-85-5163
292-32-2639,210-80-6308
210-80-6308,292-32-2639
224-63-2975,169-44-2029
169-44-2029,224-63-2975
110-30-3586,694-92-7806
694-92-7806,110-30-3586
767-59-8037,521-31-6584
521-31-6584,767-59-8037
394-72-5002,725-69-3890
725-69-3890,394-72-5002
889-43-4887,428-68-5400
428-68-5400,889-43-4887
823-49-5985,299-67-7723
299-67-7723,823-49-5985
163-79-5478,302-26-8182
302-26-8182,163-79-5478
762-98-8572,821-21-9161
821-21-9161,762-98-8572
601-39-5110,762-28-4881
762-28-4881,601-39-5110
746-68-8440,283-57-9251
283-57-9251,746-68-8440
749-95-3975,843-56-5688
843-56-5688,749-95-3975
293-23-5306,565-51-3994
565-51-3994,293-23-5306
911-36-7863,117-57-6264
117-57-6264,911-36-7863
108-22-5378,646-67-4425
646-67-4425,108-22-5378
939-73-4334,131-80-6117
131-80-6117,939-73-4334
811-27-7091,685-35-6764
685-35-6764,811-27-7091
946-82-8252,746-76-1761
746-76-1761,946-82-8252
718-82-2637,313-30-9622
313-30-9622,718-82-2637
713-64-1027,612-72-1779
612-72-1779,713-64-1027
919-94-5591,790-95-2868
790-95-2868,919-94-5591
658-34-2664,766-73-7434
766-73-7434,658-34-2664
835-73-2632,322-29-5475
322-29-5475,835-73-2632
868-96-5270,211-81-4333
211-81-4333,868-96-5270
925-41-9314,401-40-3926
401-40-3926,925-41-9314
443-77-9045,854-41-8773
854-41-8773,443-77-9045
161-99-1495,337-16-7904
337-16-7904,161-99-1495
483-17-9101,995-61-8531
995-61-8531,483-17-9101
447-74-9611,150-17-6807
150-17-6807,447-74-9611
188-92-9906,461-11-5351
461-11-5351,188-92-9906
724-61-4545,320-47-2788
320-47-2788,724-61-4545
566-27-5729,946-52-2729
946-52-2729,566-27-5729
872-67-5219,604-52-6577
604-52-6577,872-67-5219
477-92-9230,978-13-4452
978-13-4452,477-92-9230
265-15-8486,889-46-1825
889-46-1825,265-15-8486
101-26-1120,998-75-2090
998-75-2090,101-26-1120
715-22-1190,541-79-1642
541-79-1642,715-22-1190
983-59-5734,903-11-8974
903-11-8974,983-59-5734
137-58-8324,105-34-4163
105-34-4163,137-58-8324
633-41-9210,957-37-4514
957-37-4514,633-41-9210
572-66-5507,752-28-1851
752-28-1851,572-66-5507
600-31-6793,219-65-5768
219-65-5768,600-31-6793
635-82-5183,168-16-2504
168-16-2504,635-82-5183
392-17-6893,301-18-9157
301-18-9157,392-17-6893
779-15-1589,250-23-1471
250-23-1471,779-15-1589
293-29-6015,773-35-1305
773-35-1305,293-29-6015
126-46-4381,512-64-2163
512-64-2163,126-46-4381
336-16-7764,876-48-9060
876-48-9060,336-16-7764
794-47-4954,978-71-7795
978-71-7795,794-47-4954
250-29-1235,826-87-7570
826-87-7570,250-29-1235
653-38-4885,216-81-9089
216-81-9089,653-38-4885
445-56-3841,553-46-2405
553-46-2405,445-56-3841
410-33-4133,116-96-2799
116-96-2799,410-33-4133
224-14-5319,264-29-5729
264-29-5729,224-14-5319
730-62-4564,800-57-2771
800-57-2771,730-62-4564
947-34-3009,965-39-3333
965-39-3333,947-34-3009
986-27-3480,300-69-5795
300-69-5795,986-27-3480
900-29-9377,269-41-7938
269-41-7938,900-29-9377
887-46-6748,750-79-8190
750-79-8190,887-46-6748
964-71-7288,390-37-4475
390-37-4475,964-71-7288
523-87-8845,219-41-8000
219-41-8000,523-87-8845
992-97-2527,556-69-9983
556-69-9983,992-97-2527
154-73-8625,718-29-1096
718-29-1096,154-73-8625
500-18-3128,509-93-9947
509-93-9947,500-18-3128
894-75-1836,984-79-5623
984-79-5623,894-75-1836
563-71-8298,353-22-2485
353-22-2485,563-71-8298
939-42-5339,805-55-3536
805-55-3536,939-42-5339
971-17-7449,188-49-2005
188-49-2005,971-17-7449
545-16-9023,195-44-3521
195-44-3521,545-16-9023
420-69-9466,442-55-2522
442-55-2522,420-69-9466
870-33-4807,833-66-5974
833-66-5974,870-33-4807
756-99-2743,379-32-1045
379-32-1045,756-99-2743
351-99-4664,190-65-2592
190-65-2592,351-99-4664
862-92-2150,827-54-2595
827-54-2595,862-92-2150
813-70-7068,772-82-2884
772-82-2884,813-70-7068
992-39-2759,940-45-3953
940-45-3953,992-39-2759
774-92-1988,183-49-1726
183-49-1726,774-92-1988
852-61-5451,639-66-4605
639-66-4605,852-61-5451
262-96-7229,588-36-7663
588-36-7663,262-96-7229
863-67-3799,605-31-4557
605-31-4557,863-67-3799
627-50-6895,666-77-7146
666-77-7146,627-50-6895
386-90-5814,362-12-8133
362-12-8133,386-90-5814
852-62-9229,825-59-1380
825-59-1380,852-62-9229
222-33-9181,939-48-1758
939-48-1758,222-33-9181
158-57-4188,753-53-9864
753-53-9864,158-57-4188
520-62-8955,127-67-9763
127-67-9763,520-62-8955
319-64-4493,347-99-9160
347-99-9160,319-64-4493
644-26-9965,735-87-3594
735-87-3594,644-26-9965
565-15-4949,931-81-8349
931-81-8349,565-15-4949
358-88-5768,294-88-2825
294-88-2825,358-88-5768
210-58-1336,488-53-8586
488-53-8586,210-58-1336
385-93-9360,494-98-3514
494-98-3514,385-93-9360
655-80-7019,461-92-4274
461-92-4274,655-80-7019
616-18-1452,284-84-2609
284-84-2609,616-18-1452
723-73-5302,361-10-1982
361-10-1982,723-73-5302
718-28-7401,873-55-4953
873-55-4953,718-28-7401
854-25-2469,919-13-7013
919-13-7013,854-25-2469
179-42-4287,811-57-6219
811-57-6219,179-42-4287
643-95-2815,149-48-7135
149-48-7135,643-95-2815
306-33-9616,548-70-4187
548-70-4187,306-33-9616
115-66-1625,933-70-2387
933-70-2387,115-66-1625
955-34-3661,694-37-9972
694-37-9972,955-34-3661
240-59-1970,872-39-2917
872-39-2917,240-59-1970
865-82-3660,864-67-7749
864-67-7749,865-82-3660
319-54-1451,358-40-9259
358-40-9259,319-54-1451
251-95-2069,644-12-4346
644-12-4346,251-95-2069
837-58-9235,790-93-8758
790-93-8758,837-58-9235
527-49-9295,889-60-9646
889-60-9646,527-49-9295
983-60-9425,801-51-8789
801-51-8789,983-60-9425
873-41-2933,382-83-7393
382-83-7393,873-41-2933
172-38-5259,179-14-8359
179-14-8359,172-38-5259
219-53-6357,107-43-1667
107-43-1667,219-53-6357
656-86-8741,547-73-6295
547-73-6295,656-86-8741
941-19-2141,815-46-4844
815-46-4844,941-19-2141
828-10-5831,707-78-4648
707-78-4648,828-10-5831
502-90-6297,344-31-9104
344-31-9104,502-90-6297
802-47-1045,570-18-4346
570-18-4346,802-47-1045
141-10-5611,161-35-2513
161-35-2513,141-10-5611
330-23-6959,872-13-4069
872-13-4069,330-23-6959
746-84-9000,488-98-2587
488-98-2587,746-84-9000
686-97-3721,948-79-7530
948-79-7530,686-97-3721
444-67-2061,520-26-8383
520-26-8383,444-67-2061
173-69-8920,216-19-1938
216-19-1938,173-69-8920
584-40-1512,636-85-4453
636-85-4453,584-40-1512
252-18-6615,784-19-2720
784-19-2720,252-18-6615
424-29-5587,178-40-2884
178-40-2884,424-29-5587
954-95-3841,476-14-3746
476-14-3746,954-95-3841
739-54-7807,332-97-6282
332-97-6282,739-54-7807
585-42-2278,220-37-1812
220-37-1812,585-42-2278
940-69-5487,357-82-3723
357-82-3723,940-69-5487
846-82-6066,171-90-8678
171-90-8678,846-82-6066
815-12-2955,199-37-4359
199-37-4359,815-12-2955
451-41-9452,282-22-8486
282-22-8486,451-41-9452
898-90-9855,650-95-8118
650-95-8118,898-90-9855
224-83-7892,889-31-7294
889-31-7294,224-83-7892
739-30-3122,506-28-6844
506-28-6844,739-30-3122
710-17-6448,315-15-4551
315-15-4551,710-17-6448
770-87-6842,802-89-4375
802-89-4375,770-87-6842
405-55-8466,218-59-2319
218-59-2319,405-55-8466
718-56-8826,103-87-4818
103-87-4818,718-56-8826
908-60-2528,911-69-4748
911-69-4748,908-60-2528
469-92-9300,294-33-3102
294-33-3102,469-92-9300
988-51-6039,863-32-2776
863-32-2776,988-51-6039
988-67-6140,538-30-8834
538-30-8834,988-67-6140
974-82-6621,833-53-3321
833-53-3321,974-82-6621
747-23-3029,453-80-5323
453-80-5323,747-23-3029
307-59-6567,579-40-8177
579-40-8177,307-59-6567
675-95-2998,713-64-8843
713-64-8843,675-95-2998
491-15-1113,875-20-7508
875-20-7508,491-15-1113
740-19-6633,913-96-6590
913-96-6590,740-19-6633
215-95-9604,518-97-6758
518-97-6758,215-95-9604
909-36-8280,813-36-3902
813-36-3902,909-36-8280
954-83-2721,185-27-2281
185-27-2281,954-83-2721
558-37-3323,647-55-5983
647-55-5983,558-37-3323
555-54-4225,662-39-8543
662-39-8543,555-54-4225
546-46-1441,706-72-1176
706-72-1176,546-46-1441
241-52-1801,882-93-1620
882-93-1620,241-52-1801
545-87-8406,672-90-2500
672-90-2500,545-87-8406
335-26-9262,893-13-8319
893-13-8319,335-26-9262
300-84-5874,340-64-9322
340-64-9322,300-84-5874
339-88-1369,280-47-2853
280-47-2853,339-88-1369
705-71-7910,659-50-3504
659-50-3504,705-71-7910
205-61-4884,874-78-5212
874-78-5212,205-61-4884
521-81-4120,552-63-8187
552-63-8187,521-81-4120
113-99-1141,543-89-5542
543-89-5542,113-99-1141
733-16-6249,180-73-1023
180-73-1023,733-16-6249
400-96-4385,779-78-8202
779-78-8202,400-96-4385
633-92-2924,672-75-2106
672-75-2106,633-92-2924
297-68-6603,246-93-5303
246-93-5303,297-68-6603
425-89-5576,337-77-8533
337-77-8533,425-89-5576
365-37-1912,482-62-7123
482-62-7123,365-37-1912
165-73-9023,813-34-3248
813-34-3248,165-73-9023
794-41-6476,378-22-2965
378-22-2965,794-41-6476
137-24-4284,749-89-6662
749-89-6662,137-24-4284
237-83-9218,433-13-7773
433-13-7773,237-83-9218
369-48-8547,291-83-3372
291-83-3372,369-48-8547
282-46-3974,616-81-9245
616-81-9245,282-46-3974
389-96-4586,998-80-3291
998-80-3291,389-96-4586
627-54-5333,273-28-2489
273-28-2489,627-54-5333
536-86-9685,135-63-2797
135-63-2797,536-86-9685
529-41-6166,656-69-8766
656-69-8766,529-41-6166
706-85-3916,501-30-7103
501-30-7103,706-85-3916
161-92-7585,252-45-9477
252-45-9477,161-92-7585
163-37-3506,403-52-6339
403-52-6339,163-37-3506
680-10-8353,186-44-7058
186-44-7058,680-10-8353
177-59-9630,103-23-4599
103-23-4599,177-59-9630
605-86-5686,751-77-4265
751-77-4265,605-86-5686
182-48-2334,302-50-5933
302-50-5933,182-48-2334
366-14-4326,436-58-1788
436-58-1788,366-14-4326
911-79-5711,442-17-8482
442-17-8482,911-79-5711
858-32-3585,280-44-8957
280-44-8957,858-32-3585
572-82-8716,401-24-5937
401-24-5937,572-82-8716
617-13-7954,845-52-2076
845-52-2076,617-13-7954
649-68-3371,601-96-9797
601-96-9797,649-68-3371
179-10-8735,330-35-4477
330-35-4477,179-10-8735
920-11-4736,350-86-3395
350-86-3395,920-11-4736
122-66-2391,587-46-1608
587-46-1608,122-66-2391
664-10-2549,443-74-8532
443-74-8532,664-10-2549
951-96-7984,260-37-6381
260-37-6381,951-96-7984
829-48-2671,155-28-9451
155-28-9451,829-48-2671
694-45-9929,163-37-1031
163-37-1031,694-45-9929
171-88-9436,176-51-7787
176-51-7787,171-88-9436
526-35-3542,630-48-6927
630-48-6927,526-35-3542
525-43-4493,872-44-7880
872-44-7880,525-43-4493
569-29-3106,400-35-7073
400-35-7073,569-29-3106
539-18-2412,874-96-2202
874-96-2202,539-18-2412
290-56-1735,971-87-7306
971-87-7306,290-56-1735
489-16-9324,618-15-2406
618-15-2406,489-16-9324
942-90-9893,954-51-6253
954-51-6253,942-90-9893
203-47-8432,908-95-6367
908-95-6367,203-47-8432
137-18-2471,924-86-8444
924-86-8444,137-18-2471
801-55-8538,387-34-7761
387-34-7761,801-55-8538
317-29-4256,874-69-3384
874-69-3384,317-29-4256
297-44-9796,122-58-9371
122-58-9371,297-44-9796
252-94-2221,850-93-9944
850-93-9944,252-94-2221
268-48-8702,228-44-9787
228-44-9787,268-48-8702
794-22-7153,730-54-2174
730-54-2174,794-22-7153
465-21-9462,479-77-8940
479-77-8940,465-21-9462
380-99-7597,148-27-4341
148-27-4341,380-99-7597
297-55-2339,495-42-9130
495-42-9130,297-55-2339
251-78-2448,458-40-1244
458-40-1244,251-78-2448
447-72-2266,567-76-5733
567-76-5733,447-72-2266
364-25-5148,398-28-3621
398-28-3621,364-25-5148
890-46-4137,371-13-8039
371-13-8039,890-46-4137
620-40-1489,618-68-8462
618-68-8462,620-40-1489
762-70-8168,753-49-5121
753-49-5121,762-70-8168
922-34-5484,179-69-3205
179-69-3205,922-34-5484
868-83-2900,594-19-7900
594-19-7900,868-83-2900
203-15-3439,194-32-3382
194-32-3382,203-15-3439
607-24-3486,893-41-6757
893-41-6757,607-24-3486
908-58-3897,559-74-1049
559-74-1049,908-58-3897
752-79-4337,933-98-3431
933-98-3431,752-79-4337
128-26-8515,352-59-6346
352-59-6346,128-26-8515
101-13-3125,550-57-4974
550-57-4974,101-13-3125
981-62-6100,265-88-3971
265-88-3971,981-62-6100
364-76-1896,147-67-9236
147-67-9236,364-76-1896
959-10-3863,943-86-8204
943-86-8204,959-10-3863
950-11-3187,943-68-7285
943-68-7285,950-11-3187
157-80-3041,556-20-5631
556-20-5631,157-80-3041
199-74-2591,899-66-7736
899-66-7736,199-74-2591
973-53-1900,982-71-7394
982-71-7394,973-53-1900
666-42-3759,994-41-7180
994-41-7180,666-42-3759
866-60-7838,998-65-3475
998-65-3475,866-60-7838
539-63-4038,390-91-7639
390-91-7639,539-63-4038
485-60-2078,309-25-3961
309-25-3961,485-60-2078
386-17-2170,570-94-8161
570-94-8161,386-17-2170
884-80-6633,637-30-6859
637-30-6859,884-80-6633
510-54-6163,586-65-3153
586-65-3153,510-54-6163
809-28-6527,580-23-5341
580-23-5341,809-28-6527
958-14-8906,162-55-9754
162-55-9754,958-14-8906
582-85-3264,263-48-1730
263-48-1730,582-85-3264
323-23-8143,971-73-1343
971-73-1343,323-23-8143
984-42-7759,620-67-1308
620-67-1308,984-42-7759
506-29-4058,426-60-5253
426-60-5253,506-29-4058
752-40-5605,115-12-5222
115-12-5222,752-40-5605
187-32-5649,671-34-6154
671-34-6154,187-32-5649
737-71-4290,259-33-5022
259-33-5022,737-71-4290
106-62-9224,901-74-3522
901-74-3522,106-62-9224
670-18-5140,341-64-7018
341-64-7018,670-18-5140
213-73-1414,476-35-6990
476-35-6990,213-73-1414
239-66-1596,281-34-3030
281-34-3030,239-66-1596
566-35-4183,716-81-3156
716-81-3156,566-35-4183
962-87-4048,809-88-2221
809-88-2221,962-87-4048
416-17-5046,551-17-6788
551-17-6788,416-17-5046
733-36-1992,926-59-3363
926-59-3363,733-36-1992
670-74-7059,179-75-3348
179-75-3348,670-74-7059
831-34-8621,338-79-9428
338-79-9428,831-34-8621
942-99-5569,198-82-8739
198-82-8739,942-99-5569
394-61-6198,403-43-3801
403-43-3801,394-61-6198
488-51-7609,602-67-7358
602-67-7358,488-51-7609
980-27-7143,399-38-5587
399-38-5587,980-27-7143
504-92-3574,704-67-7534
704-67-7534,504-92-3574
355-65-6349,373-94-4786
373-94-4786,355-65-6349
962-91-2190,245-22-4991
245-22-4991,962-91-2190
823-76-9513,785-69-2768
785-69-2768,823-76-9513
975-80-5680,558-56-7259
558-56-7259,975-80-5680
812-69-2984,753-23-6079
753-23-6079,812-69-2984
204-95-6716,338-96-9211
338-96-9211,204-95-6716
721-82-2594,745-60-2518
745-60-2518,721-82-2594
153-81-5729,496-57-3147
496-57-3147,153-81-5729
404-36-1215,196-88-5486
196-88-5486,404-36-1215
923-32-4813,578-20-9597
578-20-9597,923-32-4813
809-31-6968,364-68-3038
364-68-3038,809-31-6968
659-21-3323,276-49-7706
276-49-7706,659-21-3323
940-51-8040,952-95-3244
952-95-3244,940-51-8040
484-42-4410,318-20-9261
318-20-9261,484-42-4410
957-15-8384,204-86-7249
204-86-7249,957-15-8384
712-28-1622,346-61-5729
346-61-5729,712-28-1622
786-82-5927,517-79-4046
517-79-4046,786-82-5927
821-46-3196,223-89-8043
223-89-8043,821-46-3196
732-64-7934,157-36-1678
157-36-1678,732-64-7934
359-50-1155,722-26-5677
722-26-5677,359-50-1155
729-27-3011,284-68-5051
284-68-5051,729-27-3011
823-45-8901,633-88-1392
633-88-1392,823-45-8901
495-35-6668,988-42-4962
988-42-4962,495-35-6668
255-83-6580,162-52-7364
162-52-7364,255-83-6580
759-77-9097,601-29-6929
601-29-6929,759-77-9097
891-57-2230,340-92-6417
340-92-6417,891-57-2230
922-34-2720,702-67-3102
702-67-3102,922-34-2720
133-31-9701,829-84-9379
829-84-9379,133-31-9701
323-80-8493,235-89-5896
235-89-5896,323-80-8493
998-18-7665,863-47-4956
863-47-4956,998-18-7665
208-76-6931,204-37-1977
204-37-1977,208-76-6931
472-72-8830,204-76-2958
204-76-2958,472-72-8830
176-93-3059,935-38-2752
935-38-2752,176-93-3059
181-18-9073,839-40-7160
839-40-7160,181-18-9073
676-40-2511,758-72-9877
758-72-9877,676-40-2511
433-38-2557,721-59-9570
721-59-9570,433-38-2557
461-26-5007,167-61-1410
167-61-1410,461-26-5007
731-45-7636,211-75-6022
211-75-6022,731-45-7636
507-72-4979,838-19-9334
838-19-9334,507-72-4979
518-56-3461,900-30-6346
900-30-6346,518-56-3461
725-32-8000,984-53-8737
984-53-8737,725-32-8000
775-61-4465,919-42-8634
919-42-8634,775-61-4465
380-85-1128,996-81-3856
996-81-3856,380-85-1128
772-32-8759,557-22-1562
557-22-1562,772-32-8759
907-21-9079,200-90-6763
200-90-6763,907-21-9079
629-63-4017,130-85-5860
130-85-5860,629-63-4017
360-60-1411,472-24-6300
472-24-6300,360-60-1411
319-68-3321,988-82-2111
988-82-2111,319-68-3321
247-72-5457,708-56-8700
708-56-8700,247-72-5457
174-52-1494,459-98-1202
459-98-1202,174-52-1494
536-88-2380,966-31-3699
966-31-3699,536-88-2380
232-50-1680,239-23-1741
239-23-1741,232-50-1680
194-20-5334,664-57-6827
664-57-6827,194-20-5334
361-83-2094,282-21-3002
282-21-3002,361-83-2094
304-83-8109,230-27-7707
230-27-7707,304-83-8109
448-12-4099,893-29-1956
893-29-1956,448-12-4099
317-44-8746,519-44-3276
519-44-3276,317-44-8746
855-53-2445,746-32-8829
746-32-8829,855-53-2445
381-36-2241,644-20-5416
644-20-5416,381-36-2241
598-64-1555,656-80-5391
656-80-5391,598-64-1555
377-70-9131,392-24-2098
392-24-2098,377-70-9131
873-17-9452,349-34-7925
349-34-7925,873-17-9452
650-26-1989,516-61-1331
516-61-1331,650-26-1989
959-18-8621,227-12-7609
227-12-7609,959-18-8621
792-87-3912,715-29-4925
715-29-4925,792-87-3912
123-93-9054,851-36-4571
851-36-4571,123-93-9054
145-21-4816,780-24-3517
780-24-3517,145-21-4816
468-91-5056,923-24-5566
923-24-5566,468-91-5056
648-94-4068,250-64-7821
250-64-7821,648-94-4068
823-66-8145,982-64-5385
982-64-5385,823-66-8145
843-32-4142,364-68-3645
364-68-3645,843-32-4142
845-53-3233,675-45-2679
675-45-2679,845-53-3233
781-11-5692,933-83-4685
933-83-4685,781-11-5692
411-71-3687,723-72-3834
723-72-3834,411-71-3687
390-14-1397,268-45-2185
268-45-2185,390-14-1397
774-60-1283,184-24-5435
184-24-5435,774-60-1283
156-92-6531,440-81-9867
440-81-9867,156-92-6531
506-39-6822,856-59-8803
856-59-8803,506-39-6822
990-42-7819,353-77-3010
353-77-3010,990-42-7819
676-79-2961,526-43-3538
526-43-3538,676-79-2961
472-79-6392,536-26-3504
536-26-3504,472-79-6392
243-46-8646,207-31-8849
207-31-8849,243-46-8646
294-37-6406,664-86-8046
664-86-8046,294-37-6406
631-55-5180,168-53-9942
168-53-9942,631-55-5180
339-62-1305,544-10-1884
544-10-1884,339-62-1305
210-19-6122,430-77-1754
430-77-1754,210-19-6122
249-80-7763,883-69-3843
883-69-3843,249-80-7763
944-49-9858,368-92-5716
368-92-5716,944-49-9858
862-75-2189,610-19-1271
610-19-1271,862-75-2189
188-64-9713,135-26-3100
135-26-3100,188-64-9713
943-19-2989,381-33-4031
381-33-4031,943-19-2989
398-81-2184,547-63-2938
547-63-2938,398-81-2184
294-49-1109,120-52-5394
120-52-5394,294-49-1109
823-48-4702,210-22-5567
210-22-5567,823-48-4702
373-54-6384,498-18-9024
498-18-9024,373-54-6384
718-69-2168,198-46-2954
198-46-2954,718-69-2168
601-78-4427,647-70-7666
647-70-7666,601-78-4427
