person1Ssn,person2Ssn,confidence,reason
575-69-1524,786-96-3754,0.81,same_dob_similar_name
888-36-4687,801-76-4525,0.71,same_dob_similar_name
766-46-5819,442-12-7860,0.86,same_dob_similar_name
766-46-5819,123-70-4361,0.82,same_dob_similar_name
442-12-7860,123-70-4361,0.86,same_dob_similar_name
147-11-4852,721-60-9447,0.81,same_dob_similar_name
962-12-2309,387-14-9184,0.94,same_dob_similar_name
962-12-2309,317-79-8876,0.88,same_dob_similar_name
387-14-9184,317-79-8876,0.81,same_dob_similar_name
446-83-5103,600-75-3395,0.89,same_dob_similar_name
249-23-7865,590-49-9780,0.94,same_dob_similar_name
203-28-5239,327-61-2611,0.88,same_dob_similar_name
203-28-5239,420-29-6479,0.85,same_dob_similar_name
327-61-2611,420-29-6479,0.86,same_dob_similar_name
969-18-7862,336-80-8644,0.85,same_dob_similar_name
969-18-7862,273-11-1239,0.84,same_dob_similar_name
336-80-8644,273-11-1239,0.73,same_dob_similar_name
295-64-4902,501-53-1561,0.89,same_dob_similar_name
295-64-4902,226-47-3364,0.8,same_dob_similar_name
501-53-1561,226-47-3364,0.72,same_dob_similar_name
928-73-1397,556-84-4272,0.89,same_dob_similar_name
928-73-1397,271-65-7104,0.72,same_dob_similar_name
556-84-4272,271-65-7104,0.89,same_dob_similar_name
305-51-3999,591-87-1360,0.83,same_dob_similar_name
433-55-9537,105-36-6197,0.77,same_dob_similar_name
433-55-9537,316-89-4497,0.75,same_dob_similar_name
105-36-6197,316-89-4497,0.92,same_dob_similar_name
235-57-7654,366-72-7462,0.93,same_dob_similar_name
235-57-7654,705-25-1199,0.71,same_dob_similar_name
366-72-7462,705-25-1199,0.83,same_dob_similar_name
228-84-1384,450-32-9828,0.89,same_dob_similar_name
627-80-4648,459-43-5539,0.82,same_dob_similar_name
627-80-4648,609-89-3363,0.76,same_dob_similar_name
459-43-5539,609-89-3363,0.71,same_dob_similar_name
170-37-1911,583-67-9346,0.78,same_dob_similar_name
170-37-1911,155-79-9917,0.93,same_dob_similar_name
583-67-9346,155-79-9917,0.7,same_dob_similar_name
372-50-9589,431-86-5648,0.79,same_dob_similar_name
372-50-9589,896-61-8330,0.93,same_dob_similar_name
431-86-5648,896-61-8330,0.73,same_dob_similar_name
905-35-4936,580-16-3812,0.8,same_dob_similar_name
440-57-4019,268-49-4527,0.91,same_dob_similar_name
385-41-6462,901-20-7217,0.78,same_dob_similar_name
385-41-6462,542-73-3797,0.91,same_dob_similar_name
901-20-7217,542-73-3797,0.77,same_dob_similar_name
589-97-3236,965-63-1996,0.88,same_dob_similar_name
868-64-3995,951-19-2010,0.85,same_dob_similar_name
668-50-6837,648-21-4660,0.73,same_dob_similar_name
999-70-7933,357-11-7189,0.77,same_dob_similar_name
999-70-7933,531-35-1347,0.75,same_dob_similar_name
357-11-7189,531-35-1347,0.84,same_dob_similar_name
586-93-5241,190-81-9376,0.76,same_dob_similar_name
111-45-3467,139-46-3347,0.79,same_dob_similar_name
850-44-7621,955-99-6530,0.76,same_dob_similar_name
748-25-4991,795-62-7606,0.75,same_dob_similar_name
748-25-4991,385-85-2269,0.8,same_dob_similar_name
795-62-7606,385-85-2269,0.95,same_dob_similar_name
306-17-3368,652-87-9316,0.79,same_dob_similar_name
306-17-3368,498-97-3895,0.88,same_dob_similar_name
652-87-9316,498-97-3895,0.83,same_dob_similar_name
535-63-4208,820-64-3524,0.87,same_dob_similar_name
535-63-4208,360-99-2869,0.84,same_dob_similar_name
820-64-3524,360-99-2869,0.93,same_dob_similar_name
115-93-4831,984-25-9072,0.8,same_dob_similar_name
799-66-8036,991-66-1949,0.8,same_dob_similar_name
201-42-5592,849-50-3994,0.74,same_dob_similar_name
201-42-5592,962-14-6417,0.78,same_dob_similar_name
849-50-3994,962-14-6417,0.72,same_dob_similar_name
628-71-8332,876-55-5652,0.85,same_dob_similar_name
628-71-8332,520-74-8900,0.91,same_dob_similar_name
876-55-5652,520-74-8900,0.84,same_dob_similar_name
797-83-9161,279-38-4819,0.94,same_dob_similar_name
797-83-9161,696-74-1263,0.7,same_dob_similar_name
279-38-4819,696-74-1263,0.75,same_dob_similar_name
332-79-7879,166-65-2489,0.89,same_dob_similar_name
526-17-3523,298-46-1319,0.88,same_dob_similar_name
112-82-3730,563-93-8190,0.8,same_dob_similar_name
112-82-3730,649-71-6760,0.82,same_dob_similar_name
563-93-8190,649-71-6760,0.94,same_dob_similar_name
964-43-1397,528-29-6788,0.83,same_dob_similar_name
452-28-8786,810-46-6981,0.74,same_dob_similar_name
452-28-8786,430-43-4346,0.7,same_dob_similar_name
810-46-6981,430-43-4346,0.93,same_dob_similar_name
934-98-3459,322-83-9241,0.86,same_dob_similar_name
647-22-3226,609-94-1811,0.78,same_dob_similar_name
941-24-1667,682-58-3621,0.94,same_dob_similar_name
941-24-1667,556-24-4806,0.86,same_dob_similar_name
682-58-3621,556-24-4806,0.8,same_dob_similar_name
115-34-1519,899-20-1334,0.71,same_dob_similar_name
115-34-1519,229-66-6792,0.92,same_dob_similar_name
899-20-1334,229-66-6792,0.91,same_dob_similar_name
693-72-5476,683-81-8736,0.74,same_dob_similar_name
575-54-9226,752-25-9351,0.77,same_dob_similar_name
575-54-9226,358-58-5566,0.91,same_dob_similar_name
752-25-9351,358-58-5566,0.76,same_dob_similar_name
615-77-4913,862-46-6159,0.86,same_dob_similar_name
615-77-4913,145-60-3322,0.91,same_dob_similar_name
862-46-6159,145-60-3322,0.87,same_dob_similar_name
605-33-1850,791-98-6000,0.81,same_dob_similar_name
725-47-7497,674-46-9517,0.79,same_dob_similar_name
725-47-7497,524-99-1976,0.79,same_dob_similar_name
674-46-9517,524-99-1976,0.9,same_dob_similar_name
641-91-4243,914-25-1051,0.85,same_dob_similar_name
641-91-4243,666-83-2452,0.83,same_dob_similar_name
914-25-1051,666-83-2452,0.94,same_dob_similar_name
538-78-5875,352-84-9614,0.7,same_dob_similar_name
123-28-8678,259-19-1968,0.92,same_dob_similar_name
409-29-8188,625-52-3008,0.9,same_dob_similar_name
995-90-8720,342-39-6145,0.92,same_dob_similar_name
995-90-8720,182-95-3297,0.87,same_dob_similar_name
342-39-6145,182-95-3297,0.92,same_dob_similar_name
749-78-3356,594-31-3337,0.91,same_dob_similar_name
933-90-4638,549-50-1657,0.92,same_dob_similar_name
933-90-4638,548-53-8092,0.88,same_dob_similar_name
549-50-1657,548-53-8092,0.75,same_dob_similar_name
865-84-6759,363-82-4155,0.83,same_dob_similar_name
536-30-6508,169-12-7423,0.74,same_dob_similar_name
556-30-6541,372-69-7977,0.82,same_dob_similar_name
784-10-4557,956-21-1949,0.78,same_dob_similar_name
784-10-4557,186-17-6331,0.94,same_dob_similar_name
956-21-1949,186-17-6331,0.94,same_dob_similar_name
291-16-8798,382-40-6449,0.74,same_dob_similar_name
291-16-8798,919-77-1372,0.89,same_dob_similar_name
382-40-6449,919-77-1372,0.81,same_dob_similar_name
154-66-3981,136-89-6219,0.75,same_dob_similar_name
102-71-4685,881-90-9797,0.86,same_dob_similar_name
102-71-4685,881-91-2130,0.82,same_dob_similar_name
881-90-9797,881-91-2130,0.7,same_dob_similar_name
867-49-4243,804-63-3807,0.84,same_dob_similar_name
867-49-4243,695-96-7434,0.82,same_dob_similar_name
804-63-3807,695-96-7434,0.7,same_dob_similar_name
653-16-8527,509-76-3878,0.78,same_dob_similar_name
653-16-8527,584-11-1297,0.93,same_dob_similar_name
509-76-3878,584-11-1297,0.76,same_dob_similar_name
201-15-7054,129-37-8820,0.79,same_dob_similar_name
201-15-7054,604-16-6675,0.92,same_dob_similar_name
129-37-8820,604-16-6675,0.85,same_dob_similar_name
806-68-2271,628-26-7588,0.72,same_dob_similar_name
147-22-4173,942-30-2062,0.73,same_dob_similar_name
441-83-6614,293-23-5493,0.74,same_dob_similar_name
441-83-6614,469-77-6424,0.85,same_dob_similar_name
293-23-5493,469-77-6424,0.85,same_dob_similar_name
480-87-5745,609-33-1451,0.84,same_dob_similar_name
123-53-4428,811-86-8095,0.8,same_dob_similar_name
483-87-1530,279-93-9009,0.92,same_dob_similar_name
483-87-1530,928-34-4522,0.85,same_dob_similar_name
279-93-9009,928-34-4522,0.87,same_dob_similar_name
194-81-5074,652-36-2645,0.81,same_dob_similar_name
213-45-5224,613-34-6245,0.89,same_dob_similar_name
213-45-5224,965-93-8817,0.88,same_dob_similar_name
613-34-6245,965-93-8817,0.9,same_dob_similar_name
655-92-6547,961-38-3169,0.94,same_dob_similar_name
655-92-6547,333-46-9803,0.74,same_dob_similar_name
961-38-3169,333-46-9803,0.73,same_dob_similar_name
616-37-3247,806-76-2845,0.84,same_dob_similar_name
616-37-3247,189-51-5756,0.87,same_dob_similar_name
806-76-2845,189-51-5756,0.74,same_dob_similar_name
880-46-6537,347-57-2433,0.89,same_dob_similar_name
880-46-6537,467-45-2026,0.81,same_dob_similar_name
347-57-2433,467-45-2026,0.84,same_dob_similar_name
834-32-7716,119-93-9956,0.85,same_dob_similar_name
834-32-7716,453-40-2999,0.9,same_dob_similar_name
119-93-9956,453-40-2999,0.78,same_dob_similar_name
358-77-9466,973-59-4734,0.81,same_dob_similar_name
358-77-9466,137-29-8984,0.77,same_dob_similar_name
973-59-4734,137-29-8984,0.79,same_dob_similar_name
975-68-4088,739-44-5887,0.93,same_dob_similar_name
565-99-7581,802-83-2569,0.79,same_dob_similar_name
565-99-7581,466-66-7317,0.84,same_dob_similar_name
802-83-2569,466-66-7317,0.74,same_dob_similar_name
750-83-7404,622-54-6943,0.81,same_dob_similar_name
120-87-6021,783-91-6712,0.88,same_dob_similar_name
120-87-6021,814-31-6272,0.86,same_dob_similar_name
783-91-6712,814-31-6272,0.9,same_dob_similar_name
674-94-5463,508-40-1365,0.87,same_dob_similar_name
890-99-6189,698-31-3480,0.8,same_dob_similar_name
890-99-6189,805-33-2955,0.78,same_dob_similar_name
698-31-3480,805-33-2955,0.88,same_dob_similar_name
206-79-6405,509-17-1073,0.78,same_dob_similar_name
206-79-6405,346-45-3686,0.91,same_dob_similar_name
509-17-1073,346-45-3686,0.89,same_dob_similar_name
163-46-3064,587-34-8268,0.85,same_dob_similar_name
672-23-3949,556-38-6428,0.7,same_dob_similar_name
672-23-3949,506-12-2738,0.88,same_dob_similar_name
556-38-6428,506-12-2738,0.82,same_dob_similar_name
468-92-2179,747-19-2641,0.71,same_dob_similar_name
389-31-6179,146-10-1794,0.91,same_dob_similar_name
389-31-6179,612-14-1421,0.72,same_dob_similar_name
146-10-1794,612-14-1421,0.85,same_dob_similar_name
886-43-9313,683-78-3111,0.93,same_dob_similar_name
886-43-9313,411-98-8898,0.89,same_dob_similar_name
683-78-3111,411-98-8898,0.77,same_dob_similar_name
889-10-8420,881-65-5004,0.78,same_dob_similar_name
889-10-8420,602-71-5119,0.82,same_dob_similar_name
881-65-5004,602-71-5119,0.83,same_dob_similar_name
358-83-1752,906-40-8377,0.86,same_dob_similar_name
554-48-1358,153-87-3124,0.75,same_dob_similar_name
900-73-7218,740-48-9636,0.73,same_dob_similar_name
900-73-7218,852-60-1236,0.87,same_dob_similar_name
740-48-9636,852-60-1236,0.75,same_dob_similar_name
995-67-5252,180-21-4886,0.94,same_dob_similar_name
558-98-2360,790-11-6721,0.87,same_dob_similar_name
558-98-2360,794-32-5909,0.85,same_dob_similar_name
790-11-6721,794-32-5909,0.86,same_dob_similar_name
493-93-3916,399-58-3937,0.87,same_dob_similar_name
293-73-9875,875-74-1350,0.86,same_dob_similar_name
293-73-9875,271-43-8878,0.9,same_dob_similar_name
875-74-1350,271-43-8878,0.86,same_dob_similar_name
703-79-1040,815-26-5056,0.73,same_dob_similar_name
703-79-1040,950-67-5998,0.86,same_dob_similar_name
815-26-5056,950-67-5998,0.78,same_dob_similar_name
813-52-2264,273-22-4662,0.8,same_dob_similar_name
813-52-2264,168-38-5116,0.95,same_dob_similar_name
273-22-4662,168-38-5116,0.73,same_dob_similar_name
574-96-3828,542-69-1695,0.86,same_dob_similar_name
254-54-3431,446-94-6437,0.94,same_dob_similar_name
254-54-3431,978-40-6954,0.92,same_dob_similar_name
446-94-6437,978-40-6954,0.79,same_dob_similar_name
368-50-4655,943-11-7839,0.75,same_dob_similar_name
605-84-1120,222-78-4367,0.74,same_dob_similar_name
674-23-1015,674-97-7002,0.75,same_dob_similar_name
166-17-7266,934-18-8350,0.73,same_dob_similar_name
166-17-7266,211-38-9995,0.92,same_dob_similar_name
934-18-8350,211-38-9995,0.85,same_dob_similar_name
814-43-2487,977-82-5154,0.76,same_dob_similar_name
618-80-9847,443-87-1391,0.71,same_dob_similar_name
959-86-1948,229-24-6010,0.81,same_dob_similar_name
959-86-1948,877-28-5683,0.72,same_dob_similar_name
229-24-6010,877-28-5683,0.73,same_dob_similar_name
820-33-9994,703-55-5480,0.79,same_dob_similar_name
117-79-5969,538-77-9996,0.92,same_dob_similar_name
117-79-5969,576-10-8076,0.81,same_dob_similar_name
538-77-9996,576-10-8076,0.85,same_dob_similar_name
537-65-1639,690-29-9217,0.91,same_dob_similar_name
537-65-1639,887-15-9142,0.73,same_dob_similar_name
690-29-9217,887-15-9142,0.71,same_dob_similar_name
496-90-1254,530-84-6364,0.76,same_dob_similar_name
805-40-6594,895-79-8154,0.87,same_dob_similar_name
805-40-6594,146-28-7340,0.86,same_dob_similar_name
895-79-8154,146-28-7340,0.78,same_dob_similar_name
794-26-1972,995-57-2176,0.74,same_dob_similar_name
794-26-1972,228-37-6688,0.78,same_dob_similar_name
995-57-2176,228-37-6688,0.7,same_dob_similar_name
502-36-4552,611-82-5731,0.88,same_dob_similar_name
502-36-4552,455-11-1571,0.9,same_dob_similar_name
611-82-5731,455-11-1571,0.94,same_dob_similar_name
871-11-3328,750-41-3578,0.94,same_dob_similar_name
871-11-3328,548-79-9174,0.74,same_dob_similar_name
750-41-3578,548-79-9174,0.88,same_dob_similar_name
271-48-9602,266-86-5641,0.86,same_dob_similar_name
841-66-3359,490-95-9611,0.91,same_dob_similar_name
561-95-2758,500-61-9869,0.8,same_dob_similar_name
428-63-8704,279-90-5319,0.7,same_dob_similar_name
428-63-8704,691-99-3155,0.71,same_dob_similar_name
279-90-5319,691-99-3155,0.8,same_dob_similar_name
436-67-6840,966-94-1775,0.85,same_dob_similar_name
436-67-6840,790-59-1853,0.82,same_dob_similar_name
966-94-1775,790-59-1853,0.74,same_dob_similar_name
119-97-9417,236-69-8435,0.89,same_dob_similar_name
957-58-2748,929-76-3589,0.87,same_dob_similar_name
957-58-2748,736-17-2939,0.86,same_dob_similar_name
929-76-3589,736-17-2939,0.88,same_dob_similar_name
259-92-8463,314-86-2412,0.79,same_dob_similar_name
259-92-8463,826-55-4532,0.83,same_dob_similar_name
314-86-2412,826-55-4532,0.89,same_dob_similar_name
347-80-1599,208-50-1562,0.71,same_dob_similar_name
347-80-1599,246-61-2832,0.71,same_dob_similar_name
208-50-1562,246-61-2832,0.71,same_dob_similar_name
634-52-3731,128-83-1581,0.93,same_dob_similar_name
523-99-4134,833-24-9560,0.79,same_dob_similar_name
984-83-1981,808-73-4709,0.81,same_dob_similar_name
616-70-9627,678-28-8367,0.84,same_dob_similar_name
616-70-9627,454-29-7512,0.9,same_dob_similar_name
678-28-8367,454-29-7512,0.75,same_dob_similar_name
653-27-6437,826-91-5259,0.75,same_dob_similar_name
653-27-6437,453-45-3643,0.76,same_dob_similar_name
826-91-5259,453-45-3643,0.86,same_dob_similar_name
607-46-3979,576-50-5057,0.89,same_dob_similar_name
607-46-3979,532-87-1582,0.7,same_dob_similar_name
576-50-5057,532-87-1582,0.92,same_dob_similar_name
992-93-5588,789-24-3983,0.78,same_dob_similar_name
992-93-5588,494-95-8744,0.95,same_dob_similar_name
789-24-3983,494-95-8744,0.95,same_dob_similar_name
442-49-7083,721-80-8652,0.71,same_dob_similar_name
100-14-9543,347-80-2400,0.8,same_dob_similar_name
694-50-4911,958-76-4070,0.78,same_dob_similar_name
694-50-4911,987-37-2254,0.84,same_dob_similar_name
958-76-4070,987-37-2254,0.71,same_dob_similar_name
736-80-7691,191-16-1371,0.84,same_dob_similar_name
957-99-9215,995-78-9257,0.91,same_dob_similar_name
778-52-9226,544-34-9440,0.9,same_dob_similar_name
880-80-8477,898-82-2504,0.95,same_dob_similar_name
880-80-8477,718-66-3075,0.91,same_dob_similar_name
898-82-2504,718-66-3075,0.88,same_dob_similar_name
192-92-6060,897-72-1772,0.87,same_dob_similar_name
192-92-6060,822-31-7326,0.74,same_dob_similar_name
897-72-1772,822-31-7326,0.72,same_dob_similar_name
476-90-4836,255-90-9221,0.73,same_dob_similar_name
476-90-4836,618-54-1595,0.77,same_dob_similar_name
255-90-9221,618-54-1595,0.76,same_dob_similar_name
752-75-6082,272-43-6297,0.86,same_dob_similar_name
752-75-6082,793-74-7832,0.79,same_dob_similar_name
272-43-6297,793-74-7832,0.72,same_dob_similar_name
836-71-1803,667-65-3510,0.94,same_dob_similar_name
836-71-1803,702-93-3001,0.79,same_dob_similar_name
667-65-3510,702-93-3001,0.72,same_dob_similar_name
600-80-1950,467-41-1911,0.74,same_dob_similar_name
127-90-2393,378-91-9654,0.78,same_dob_similar_name
127-90-2393,327-56-1387,0.85,same_dob_similar_name
378-91-9654,327-56-1387,0.71,same_dob_similar_name
850-96-8969,876-94-6590,0.94,same_dob_similar_name
850-96-8969,718-70-4396,0.82,same_dob_similar_name
876-94-6590,718-70-4396,0.7,same_dob_similar_name
779-44-4829,785-17-5920,0.71,same_dob_similar_name
727-58-4425,776-34-7060,0.74,same_dob_similar_name
662-67-7197,371-89-3588,0.79,same_dob_similar_name
662-67-7197,209-29-5995,0.79,same_dob_similar_name
371-89-3588,209-29-5995,0.92,same_dob_similar_name
589-57-9667,671-69-6940,0.76,same_dob_similar_name
608-97-7707,545-84-4486,0.91,same_dob_similar_name
941-36-9895,535-92-2358,0.81,same_dob_similar_name
941-36-9895,214-51-9963,0.85,same_dob_similar_name
535-92-2358,214-51-9963,0.74,same_dob_similar_name
617-33-9753,584-73-2999,0.83,same_dob_similar_name
617-33-9753,811-95-8734,0.88,same_dob_similar_name
584-73-2999,811-95-8734,0.9,same_dob_similar_name
442-26-4520,204-43-9297,0.84,same_dob_similar_name
877-62-9976,203-66-2774,0.88,same_dob_similar_name
877-62-9976,866-76-7924,0.83,same_dob_similar_name
203-66-2774,866-76-7924,0.71,same_dob_similar_name
282-59-7933,227-94-2217,0.76,same_dob_similar_name
282-59-7933,383-88-9098,0.76,same_dob_similar_name
227-94-2217,383-88-9098,0.92,same_dob_similar_name
137-97-1536,364-83-4327,0.84,same_dob_similar_name
584-16-4880,242-59-7745,0.75,same_dob_similar_name
584-16-4880,654-41-9130,0.72,same_dob_similar_name
242-59-7745,654-41-9130,0.85,same_dob_similar_name
905-93-4487,934-69-8120,0.89,same_dob_similar_name
905-93-4487,618-53-7233,0.78,same_dob_similar_name
934-69-8120,618-53-7233,0.7,same_dob_similar_name
202-11-9316,550-82-9372,0.85,same_dob_similar_name
211-18-6330,664-88-5298,0.72,same_dob_similar_name
196-92-6207,894-10-3000,0.86,same_dob_similar_name
196-92-6207,771-84-8572,0.78,same_dob_similar_name
894-10-3000,771-84-8572,0.92,same_dob_similar_name
330-57-9679,365-24-5570,0.86,same_dob_similar_name
330-57-9679,991-65-5074,0.89,same_dob_similar_name
365-24-5570,991-65-5074,0.81,same_dob_similar_name
395-26-3585,702-66-4062,0.82,same_dob_similar_name
597-76-8864,485-41-4563,0.76,same_dob_similar_name
597-76-8864,489-60-7085,0.95,same_dob_similar_name
485-41-4563,489-60-7085,0.82,same_dob_similar_name
694-49-6060,955-40-9450,0.76,same_dob_similar_name
384-17-6655,934-35-1039,0.75,same_dob_similar_name
384-17-6655,844-13-6961,0.83,same_dob_similar_name
934-35-1039,844-13-6961,0.92,same_dob_similar_name
583-74-6907,218-73-5871,0.83,same_dob_similar_name
583-74-6907,469-58-4302,0.78,same_dob_similar_name
218-73-5871,469-58-4302,0.89,same_dob_similar_name
424-11-8016,169-62-3152,0.87,same_dob_similar_name
424-11-8016,922-78-8023,0.81,same_dob_similar_name
169-62-3152,922-78-8023,0.93,same_dob_similar_name
416-62-7189,771-20-7963,0.76,same_dob_similar_name
416-62-7189,398-49-4884,0.8,same_dob_similar_name
771-20-7963,398-49-4884,0.86,same_dob_similar_name
669-46-7698,513-90-5931,0.83,same_dob_similar_name
669-46-7698,698-80-1186,0.8,same_dob_similar_name
513-90-5931,698-80-1186,0.88,same_dob_similar_name
924-37-4262,536-46-8990,0.9,same_dob_similar_name
924-37-4262,472-65-6253,0.92,same_dob_similar_name
536-46-8990,472-65-6253,0.89,same_dob_similar_name
634-97-3345,142-20-7702,0.88,same_dob_similar_name
634-97-3345,816-95-1824,0.7,same_dob_similar_name
142-20-7702,816-95-1824,0.78,same_dob_similar_name
417-82-3457,980-46-5381,0.88,same_dob_similar_name
417-82-3457,426-76-3587,0.87,same_dob_similar_name
980-46-5381,426-76-3587,0.88,same_dob_similar_name
650-75-7428,206-64-9184,0.77,same_dob_similar_name
650-75-7428,561-20-4754,0.73,same_dob_similar_name
206-64-9184,561-20-4754,0.88,same_dob_similar_name
577-54-9418,504-25-2522,0.93,same_dob_similar_name
577-54-9418,164-61-9304,0.86,same_dob_similar_name
504-25-2522,164-61-9304,0.72,same_dob_similar_name
903-38-2592,482-94-5003,0.89,same_dob_similar_name
281-81-4919,832-93-4709,0.88,same_dob_similar_name
281-81-4919,655-14-1171,0.84,same_dob_similar_name
832-93-4709,655-14-1171,0.86,same_dob_similar_name
628-48-8269,745-83-7459,0.76,same_dob_similar_name
628-48-8269,336-59-9554,0.83,same_dob_similar_name
745-83-7459,336-59-9554,0.88,same_dob_similar_name
969-10-1411,383-10-7640,0.72,same_dob_similar_name
176-86-4031,700-27-1955,0.78,same_dob_similar_name
176-86-4031,748-10-8393,0.81,same_dob_similar_name
700-27-1955,748-10-8393,0.8,same_dob_similar_name
152-93-6172,786-35-2964,0.79,same_dob_similar_name
152-93-6172,835-29-1252,0.75,same_dob_similar_name
786-35-2964,835-29-1252,0.91,same_dob_similar_name
244-96-5594,577-75-1734,0.9,same_dob_similar_name
244-96-5594,817-42-3281,0.78,same_dob_similar_name
577-75-1734,817-42-3281,0.79,same_dob_similar_name
135-40-9489,162-75-5545,0.76,same_dob_similar_name
135-40-9489,322-15-9755,0.86,same_dob_similar_name
162-75-5545,322-15-9755,0.87,same_dob_similar_name
614-99-2491,159-45-2039,0.76,same_dob_similar_name
614-99-2491,912-48-5986,0.76,same_dob_similar_name
159-45-2039,912-48-5986,0.82,same_dob_similar_name
712-16-9014,840-90-7250,0.85,same_dob_similar_name
712-16-9014,168-70-1214,0.89,same_dob_similar_name
840-90-7250,168-70-1214,0.75,same_dob_similar_name
516-41-8036,967-21-8394,0.92,same_dob_similar_name
516-41-8036,576-76-8531,0.78,same_dob_similar_name
967-21-8394,576-76-8531,0.82,same_dob_similar_name
725-56-9735,136-84-1908,0.9,same_dob_similar_name
513-41-6388,398-95-9859,0.81,same_dob_similar_name
528-47-2156,825-17-5138,0.88,same_dob_similar_name
867-88-1816,201-70-7570,0.83,same_dob_similar_name
867-88-1816,811-77-6134,0.84,same_dob_similar_name
201-70-7570,811-77-6134,0.88,same_dob_similar_name
738-31-4283,640-36-6457,0.86,same_dob_similar_name
500-74-4083,267-32-6422,0.76,same_dob_similar_name
500-74-4083,357-26-8313,0.93,same_dob_similar_name
267-32-6422,357-26-8313,0.81,same_dob_similar_name
475-70-9329,260-60-3757,0.87,same_dob_similar_name
475-70-9329,507-10-7734,0.75,same_dob_similar_name
260-60-3757,507-10-7734,0.7,same_dob_similar_name
132-37-9975,553-75-4246,0.95,same_dob_similar_name
943-60-6174,882-18-8705,0.93,same_dob_similar_name
198-25-7807,672-38-8469,0.78,same_dob_similar_name
198-25-7807,824-37-3892,0.92,same_dob_similar_name
672-38-8469,824-37-3892,0.88,same_dob_similar_name
946-13-7680,117-53-2464,0.83,same_dob_similar_name
946-13-7680,688-21-7756,0.93,same_dob_similar_name
117-53-2464,688-21-7756,0.77,same_dob_similar_name
668-29-6231,239-28-7188,0.85,same_dob_similar_name
668-29-6231,183-45-4043,0.76,same_dob_similar_name
239-28-7188,183-45-4043,0.71,same_dob_similar_name
453-62-6371,387-43-3365,0.87,same_dob_similar_name
403-52-7236,281-29-5434,0.77,same_dob_similar_name
810-47-9489,807-46-4916,0.78,same_dob_similar_name
810-47-9489,143-98-2242,0.81,same_dob_similar_name
807-46-4916,143-98-2242,0.8,same_dob_similar_name
