phoneId,number,type,carrier
PH000263,630-555-8949,mobile,Sprint
PH000264,847-555-3259,mobile,Verizon
PH000265,815-555-8634,mobile,T-Mobile
PH000266,847-555-2945,home,AT&T
PH000267,630-555-9304,mobile,US Cellular
PH000268,815-555-1396,mobile,T-Mobile
PH000269,217-555-3585,mobile,T-Mobile
PH000270,847-555-5475,home,US Cellular
PH000271,630-555-5267,mobile,Verizon
PH000272,309-555-7481,mobile,US Cellular
PH000273,309-555-9034,mobile,Sprint
PH000274,815-555-3047,home,Sprint
PH000275,312-555-9684,mobile,Verizon
PH000276,773-555-9933,mobile,US Cellular
PH000277,309-555-8830,mobile,AT&T
PH000278,309-555-6656,home,Verizon
PH000279,217-555-4608,mobile,AT&T
PH000280,217-555-8260,mobile,Sprint
PH000281,773-555-3164,mobile,Sprint
PH000282,309-555-8818,mobile,AT&T
PH000283,630-555-9809,mobile,T-Mobile
PH000284,217-555-3788,mobile,US Cellular
PH000285,630-555-8673,home,Verizon
PH000286,630-555-6591,mobile,AT&T
PH000287,815-555-8486,mobile,T-Mobile
PH000288,312-555-9433,home,US Cellular
PH000289,217-555-4471,work,T-Mobile
PH000290,309-555-2952,work,AT&T
PH000291,312-555-9135,home,T-Mobile
PH000292,630-555-9438,home,AT&T
PH000293,630-555-7175,mobile,Verizon
PH000294,312-555-8045,home,Verizon
PH000295,217-555-1163,mobile,US Cellular
PH000296,217-555-4901,mobile,US Cellular
PH000297,847-555-6714,mobile,Sprint
PH000298,312-555-4976,mobile,T-Mobile
PH000299,312-555-1099,home,US Cellular
PH000300,847-555-6171,mobile,Verizon
PH000301,847-555-1094,mobile,US Cellular
PH000302,309-555-2532,mobile,Sprint
PH000303,815-555-7388,home,Sprint
PH000304,630-555-6732,mobile,T-Mobile
PH000305,309-555-3982,work,Sprint
PH000306,847-555-3632,mobile,T-Mobile
PH000307,847-555-4669,mobile,Sprint
PH000308,309-555-5479,mobile,Verizon
PH000309,309-555-2682,work,Sprint
PH000310,217-555-4449,mobile,AT&T
PH000311,217-555-2407,work,US Cellular
PH000312,217-555-7165,mobile,AT&T
PH000313,773-555-2658,mobile,US Cellular
PH000314,217-555-6139,mobile,Sprint
PH000315,773-555-5960,mobile,Verizon
PH000316,312-555-5022,mobile,T-Mobile
PH000317,312-555-4200,home,Verizon
PH000318,815-555-3455,mobile,Verizon
PH000319,630-555-7374,work,Sprint
PH000320,773-555-8747,home,T-Mobile
PH000321,217-555-2984,mobile,AT&T
PH000322,312-555-2303,mobile,Verizon
PH000323,217-555-4093,mobile,T-Mobile
PH000324,815-555-2197,home,T-Mobile
PH000325,217-555-2775,mobile,Verizon
PH000326,217-555-9942,mobile,AT&T
PH000327,217-555-3554,mobile,T-Mobile
PH000328,847-555-3234,mobile,US Cellular
PH000329,312-555-6700,mobile,T-Mobile
PH000330,815-555-9877,work,Sprint
PH000331,815-555-5985,mobile,US Cellular
PH000332,217-555-7014,mobile,AT&T
PH000333,815-555-5035,work,Sprint
PH000334,630-555-9855,home,Verizon
PH000335,847-555-1168,mobile,AT&T
PH000336,815-555-9910,home,US Cellular
PH000337,847-555-6143,home,US Cellular
PH000338,312-555-2830,mobile,US Cellular
PH000339,309-555-7060,mobile,Verizon
PH000340,217-555-1670,work,US Cellular
PH000341,217-555-7945,home,T-Mobile
PH000342,312-555-6728,mobile,AT&T
PH000343,773-555-2511,home,US Cellular
PH000344,312-555-4525,mobile,Verizon
PH000345,309-555-1918,home,Verizon
PH000346,773-555-8927,mobile,AT&T
PH000347,309-555-2239,mobile,Sprint
PH000348,309-555-5852,mobile,Sprint
PH000349,312-555-9069,mobile,US Cellular
PH000350,847-555-9823,mobile,US Cellular
PH000351,847-555-9799,work,T-Mobile
PH000352,630-555-7905,mobile,T-Mobile
PH000353,847-555-5418,home,T-Mobile
PH000354,815-555-9906,home,AT&T
PH000355,630-555-4427,mobile,T-Mobile
PH000356,630-555-1249,work,US Cellular
PH000357,847-555-2058,mobile,AT&T
PH000358,815-555-5514,home,T-Mobile
PH000359,312-555-4479,mobile,Sprint
PH000360,630-555-4266,mobile,AT&T
PH000361,815-555-9893,mobile,T-Mobile
PH000362,815-555-1769,work,US Cellular
PH000363,309-555-4051,mobile,Verizon
PH000364,815-555-4376,mobile,Sprint
PH000365,630-555-2698,mobile,US Cellular
PH000366,630-555-9992,mobile,T-Mobile
PH000367,217-555-9938,mobile,T-Mobile
PH000368,847-555-3909,work,T-Mobile
PH000369,217-555-1412,mobile,T-Mobile
PH000370,217-555-7725,work,US Cellular
PH000371,773-555-6215,home,US Cellular
PH000372,309-555-4306,home,Verizon
PH000373,815-555-5641,mobile,US Cellular
PH000374,630-555-5106,work,T-Mobile
PH000375,847-555-2183,work,AT&T
PH000376,847-555-7591,mobile,T-Mobile
PH000377,630-555-6412,work,US Cellular
PH000378,309-555-8021,home,T-Mobile
PH000379,773-555-8642,work,Verizon
PH000380,815-555-3909,mobile,Sprint
PH000381,847-555-4151,work,T-Mobile
PH000382,309-555-4598,mobile,AT&T
PH000383,312-555-6330,mobile,Sprint
PH000384,309-555-1936,mobile,Sprint
PH000385,630-555-6058,mobile,US Cellular
PH000386,309-555-8666,work,AT&T
PH000387,630-555-5366,home,Sprint
PH000388,309-555-2326,mobile,Verizon
PH000389,630-555-4514,mobile,Verizon
PH000390,217-555-6076,mobile,Sprint
PH000391,773-555-2867,mobile,Verizon
PH000392,773-555-9411,work,US Cellular
PH000393,773-555-8831,mobile,Sprint
PH000394,630-555-7511,home,Verizon
PH000395,630-555-3373,home,US Cellular
PH000396,217-555-2217,mobile,Sprint
PH000397,309-555-8067,mobile,T-Mobile
PH000398,217-555-5144,home,US Cellular
PH000399,815-555-2439,home,T-Mobile
PH000400,312-555-4258,mobile,US Cellular
PH000401,309-555-3078,mobile,AT&T
PH000402,630-555-2368,mobile,Verizon
PH000403,847-555-1484,mobile,AT&T
PH000404,773-555-5227,mobile,US Cellular
PH000405,630-555-3745,mobile,Verizon
PH000406,773-555-7577,mobile,AT&T
PH000407,217-555-3320,work,US Cellular
PH000408,630-555-6669,home,T-Mobile
PH000409,815-555-9272,mobile,US Cellular
PH000410,815-555-1075,home,T-Mobile
PH000411,630-555-9671,home,Sprint
PH000412,630-555-9811,home,Sprint
PH000413,217-555-6532,mobile,T-Mobile
PH000414,217-555-1379,mobile,Sprint
PH000415,630-555-1451,home,Verizon
PH000416,217-555-4983,mobile,Sprint
PH000417,630-555-8432,home,T-Mobile
PH000418,847-555-4959,mobile,Sprint
PH000419,312-555-7952,mobile,Sprint
PH000420,217-555-1484,work,AT&T
PH000421,773-555-5954,home,T-Mobile
PH000422,312-555-3263,mobile,AT&T
PH000423,312-555-3943,mobile,Verizon
PH000424,847-555-2653,mobile,US Cellular
PH000425,773-555-6595,mobile,AT&T
PH000426,217-555-3953,mobile,Verizon
PH000427,630-555-6204,mobile,T-Mobile
PH000428,312-555-5124,home,T-Mobile
PH000429,312-555-6972,home,AT&T
PH000430,773-555-9260,mobile,T-Mobile
PH000431,217-555-6645,mobile,Sprint
PH000432,309-555-4634,home,Verizon
PH000433,773-555-7112,mobile,Sprint
PH000434,630-555-9221,work,AT&T
PH000435,309-555-3753,mobile,US Cellular
PH000436,847-555-5996,work,T-Mobile
PH000437,309-555-6540,mobile,AT&T
PH000438,217-555-8257,work,Verizon
PH000439,773-555-1550,home,T-Mobile
PH000440,815-555-9181,work,T-Mobile
PH000441,630-555-2967,mobile,Sprint
PH000442,312-555-7190,work,T-Mobile
PH000443,630-555-5706,mobile,Verizon
PH000444,630-555-7383,mobile,AT&T
PH000445,309-555-8886,home,T-Mobile
PH000446,773-555-1328,mobile,Verizon
PH000447,312-555-1993,work,Verizon
PH000448,309-555-2340,mobile,Sprint
PH000449,309-555-5726,work,US Cellular
PH000450,309-555-8527,mobile,T-Mobile
PH000451,773-555-2708,mobile,Verizon
PH000452,217-555-9992,home,Verizon
PH000453,312-555-1269,mobile,Verizon
PH000454,773-555-7589,home,AT&T
PH000455,815-555-4079,work,US Cellular
PH000456,630-555-1385,mobile,AT&T
PH000457,773-555-3049,mobile,AT&T
PH000458,847-555-8797,work,US Cellular
PH000459,312-555-1435,home,Verizon
PH000460,773-555-6859,mobile,Sprint
PH000461,217-555-5117,mobile,Sprint
PH000462,773-555-2757,mobile,Verizon
PH000463,312-555-9424,mobile,T-Mobile
PH000464,309-555-6841,mobile,US Cellular
PH000465,815-555-9147,mobile,AT&T
PH000466,630-555-1730,mobile,T-Mobile
PH000467,630-555-7075,work,Verizon
PH000468,630-555-5086,mobile,T-Mobile
PH000469,815-555-6288,mobile,Sprint
PH000470,217-555-8506,work,Sprint
PH000471,217-555-4825,work,Verizon
PH000472,773-555-5358,home,Verizon
PH000473,773-555-5628,mobile,US Cellular
PH000474,309-555-1186,mobile,AT&T
PH000475,847-555-1089,mobile,Verizon
PH000476,630-555-3786,work,AT&T
PH000477,773-555-7463,work,US Cellular
PH000478,630-555-9707,mobile,Sprint
PH000479,773-555-9464,mobile,Sprint
PH000480,773-555-5790,mobile,AT&T
PH000481,815-555-9895,work,AT&T
PH000482,309-555-1281,home,Verizon
PH000483,815-555-2545,mobile,T-Mobile
PH000484,217-555-7884,mobile,Sprint
PH000485,815-555-5702,mobile,AT&T
PH000486,847-555-3386,work,AT&T
PH000487,312-555-2981,mobile,AT&T
PH000488,217-555-2715,home,Sprint
PH000489,847-555-9633,mobile,Verizon
PH000490,309-555-9345,work,Verizon
PH000491,773-555-6373,mobile,Sprint
PH000492,217-555-9403,mobile,US Cellular
PH000493,217-555-1034,mobile,US Cellular
PH000494,217-555-1355,mobile,T-Mobile
PH000495,217-555-2706,home,US Cellular
PH000496,847-555-3097,mobile,Sprint
PH000497,815-555-6883,mobile,Verizon
PH000498,815-555-8602,home,AT&T
PH000499,773-555-8856,work,AT&T
PH000500,217-555-5070,work,T-Mobile
PH000501,847-555-5559,work,T-Mobile
PH000502,312-555-3782,mobile,Sprint
PH000503,847-555-9321,mobile,AT&T
PH000504,815-555-9711,home,T-Mobile
PH000505,217-555-1189,mobile,Sprint
PH000506,309-555-3822,mobile,T-Mobile
PH000507,630-555-1012,mobile,T-Mobile
PH000508,217-555-5714,work,AT&T
PH000509,815-555-2712,work,Sprint
PH000510,312-555-9779,work,Verizon
PH000511,847-555-1734,mobile,Sprint
PH000512,630-555-3420,home,US Cellular
PH000513,630-555-3461,home,Verizon
PH000514,217-555-2885,work,US Cellular
PH000515,630-555-4843,work,US Cellular
PH000516,217-555-8552,work,T-Mobile
PH000517,217-555-5376,mobile,AT&T
PH000518,309-555-7715,mobile,Sprint
PH000519,847-555-8507,mobile,Verizon
PH000520,309-555-7103,home,Verizon
PH000521,312-555-4263,work,AT&T
PH000522,309-555-5276,mobile,US Cellular
PH000523,847-555-9493,mobile,US Cellular
PH000524,312-555-7406,work,Sprint
PH000525,815-555-9023,work,T-Mobile
PH000526,773-555-1985,work,US Cellular
PH000527,815-555-2189,mobile,T-Mobile
PH000528,309-555-6486,mobile,US Cellular
PH000529,847-555-4827,work,Verizon
PH000530,312-555-6850,home,T-Mobile
PH000531,217-555-5690,home,AT&T
PH000532,309-555-5770,work,T-Mobile
PH000533,815-555-9396,home,US Cellular
PH000534,630-555-3633,home,Sprint
PH000535,773-555-6949,mobile,T-Mobile
PH000536,309-555-9103,mobile,Verizon
PH000537,630-555-3959,home,Sprint
PH000538,217-555-4984,mobile,US Cellular
PH000539,773-555-3959,mobile,Sprint
PH000540,847-555-3127,work,AT&T
PH000541,847-555-4668,mobile,US Cellular
PH000542,217-555-3227,work,AT&T
PH000543,309-555-9421,mobile,T-Mobile
PH000544,309-555-1432,work,US Cellular
PH000545,217-555-1864,home,Sprint
PH000546,773-555-5427,mobile,Sprint
PH000547,217-555-5403,mobile,US Cellular
PH000548,309-555-3874,mobile,Verizon
PH000549,847-555-9795,mobile,AT&T
PH000550,815-555-2289,work,US Cellular
PH000551,847-555-8388,mobile,Verizon
PH000552,630-555-9304,mobile,Verizon
PH000553,312-555-9019,mobile,US Cellular
PH000554,847-555-6134,mobile,US Cellular
PH000555,217-555-2380,work,Verizon
PH000556,312-555-6208,work,T-Mobile
PH000557,217-555-4008,mobile,AT&T
PH000558,312-555-2434,work,T-Mobile
PH000559,217-555-1239,home,US Cellular
PH000560,815-555-3161,mobile,Verizon
PH000561,773-555-5009,home,Verizon
PH000562,312-555-7695,mobile,Verizon
PH000563,815-555-8898,home,AT&T
PH000564,773-555-4300,home,Verizon
PH000565,630-555-9031,mobile,Verizon
PH000566,309-555-9757,mobile,Verizon
PH000567,630-555-8179,home,AT&T
PH000568,773-555-9305,mobile,Verizon
PH000569,847-555-9884,work,Sprint
PH000570,815-555-8521,work,US Cellular
PH000571,630-555-3976,home,T-Mobile
PH000572,773-555-8826,home,Verizon
PH000573,630-555-9125,work,US Cellular
PH000574,309-555-7541,mobile,US Cellular
PH000575,217-555-6939,work,T-Mobile
PH000576,312-555-4123,mobile,Verizon
PH000577,312-555-3086,home,AT&T
PH000578,630-555-3717,mobile,Verizon
PH000579,312-555-1330,mobile,US Cellular
PH000580,847-555-1953,work,Verizon
PH000581,217-555-3961,mobile,AT&T
PH000582,312-555-8811,home,AT&T
PH000583,773-555-5955,home,US Cellular
PH000584,217-555-9296,work,Verizon
PH000585,309-555-4149,mobile,Verizon
PH000586,630-555-1416,mobile,Verizon
PH000587,630-555-4448,mobile,Sprint
PH000588,773-555-9408,mobile,Sprint
PH000589,847-555-7701,mobile,US Cellular
PH000590,309-555-8195,mobile,T-Mobile
PH000591,309-555-8392,mobile,Verizon
PH000592,312-555-9749,mobile,T-Mobile
PH000593,773-555-1593,work,T-Mobile
PH000594,630-555-6361,mobile,Sprint
PH000595,815-555-1286,home,Verizon
PH000596,630-555-1918,home,AT&T
PH000597,815-555-8560,mobile,AT&T
PH000598,312-555-6448,mobile,Verizon
PH000599,309-555-7090,mobile,Verizon
PH000600,217-555-5570,home,AT&T
PH000601,309-555-1734,mobile,Verizon
PH000602,815-555-1233,mobile,Verizon
PH000603,815-555-8739,mobile,T-Mobile
PH000604,312-555-4197,work,T-Mobile
PH000605,847-555-6149,home,US Cellular
PH000606,312-555-4717,home,T-Mobile
PH000607,847-555-5005,work,AT&T
PH000608,309-555-7291,home,AT&T
PH000609,309-555-4103,work,US Cellular
PH000610,847-555-8579,home,US Cellular
PH000611,630-555-8760,home,Sprint
PH000612,847-555-1136,mobile,T-Mobile
PH000613,773-555-2549,mobile,Verizon
PH000614,312-555-8793,mobile,US Cellular
PH000615,309-555-5776,mobile,US Cellular
PH000616,815-555-9955,mobile,AT&T
PH000617,312-555-5932,mobile,US Cellular
PH000618,309-555-4095,mobile,US Cellular
PH000619,815-555-5176,mobile,T-Mobile
PH000620,847-555-8791,mobile,T-Mobile
PH000621,773-555-4548,work,T-Mobile
PH000622,312-555-1171,mobile,Verizon
PH000623,217-555-6493,mobile,Sprint
PH000624,312-555-5958,work,Sprint
PH000625,847-555-6151,mobile,Verizon
PH000626,630-555-5156,work,Sprint
PH000627,312-555-1663,mobile,Sprint
PH000628,815-555-7106,mobile,AT&T
PH000629,773-555-8134,mobile,AT&T
PH000630,309-555-2562,mobile,US Cellular
PH000631,312-555-9524,work,Verizon
PH000632,847-555-9985,home,T-Mobile
PH000633,773-555-8866,home,T-Mobile
PH000634,847-555-9772,mobile,T-Mobile
PH000635,217-555-1999,mobile,AT&T
PH000636,312-555-5704,work,T-Mobile
PH000637,309-555-5509,mobile,T-Mobile
PH000638,815-555-4909,mobile,AT&T
PH000639,847-555-1586,mobile,AT&T
PH000640,773-555-1559,mobile,US Cellular
PH000641,309-555-9762,home,AT&T
PH000642,773-555-6047,mobile,Verizon
PH000643,773-555-1920,work,Verizon
PH000644,312-555-8652,work,Verizon
PH000645,815-555-6922,home,AT&T
PH000646,630-555-6663,home,Sprint
PH000647,847-555-9680,mobile,T-Mobile
PH000648,309-555-8153,mobile,US Cellular
PH000649,815-555-6453,mobile,T-Mobile
PH000650,815-555-7924,mobile,AT&T
PH000651,815-555-6941,mobile,Sprint
PH000652,217-555-3924,mobile,Verizon
PH000653,773-555-9427,mobile,T-Mobile
PH000654,312-555-1282,mobile,AT&T
PH000655,630-555-6090,home,T-Mobile
PH000656,217-555-5608,home,Sprint
PH000657,217-555-7922,mobile,Verizon
PH000658,773-555-4922,mobile,T-Mobile
PH000659,309-555-3697,work,AT&T
PH000660,847-555-2808,mobile,US Cellular
PH000661,309-555-9505,mobile,US Cellular
PH000662,815-555-5740,home,US Cellular
PH000663,815-555-1947,home,US Cellular
PH000664,217-555-2321,home,US Cellular
PH000665,312-555-3650,work,T-Mobile
PH000666,773-555-4625,home,US Cellular
PH000667,309-555-1191,home,Sprint
PH000668,630-555-7398,work,US Cellular
PH000669,312-555-2717,home,Verizon
PH000670,630-555-3383,work,Verizon
PH000671,630-555-7558,mobile,Verizon
PH000672,847-555-1013,mobile,T-Mobile
PH000673,630-555-2042,mobile,T-Mobile
