personSsn,phoneId,isPrimary
871-91-1418,PH000110,true
741-43-9786,PH000111,true
311-93-2949,PH000112,true
801-99-9129,PH000113,true
636-68-5059,PH000114,true
651-82-3732,PH000115,true
944-12-5465,PH000116,true
310-74-5574,PH000117,true
117-66-8869,PH000118,true
144-62-9333,PH000119,true
417-19-5809,PH000120,true
205-85-9498,PH000121,true
789-16-2620,PH000122,true
100-30-1467,PH000123,true
766-43-3242,PH000124,true
243-19-3204,PH000125,true
857-28-7659,PH000126,true
250-13-3330,PH000127,true
751-45-6105,PH000128,true
526-70-2311,PH000129,true
188-16-4717,PH000130,true
254-54-6340,PH000131,true
860-82-3678,PH000132,true
900-64-5761,PH000133,true
684-45-1113,PH000134,true
485-88-2216,PH000135,true
298-78-3522,PH000136,true
338-20-2469,PH000137,true
454-53-6326,PH000138,true
232-27-5787,PH000139,true
188-76-5200,PH000140,true
526-26-4786,PH000141,true
677-38-4855,PH000142,true
471-98-8005,PH000143,true
325-66-7225,PH000144,true
322-49-6612,PH000145,true
442-42-4987,PH000146,true
539-93-9805,PH000147,true
515-23-2387,PH000148,true
505-36-3335,PH000149,true
441-18-6357,PH000150,true
395-73-2674,PH000151,true
467-78-4877,PH000152,true
298-63-9250,PH000153,true
420-65-1818,PH000154,true
358-88-4684,PH000155,true
467-23-3888,PH000156,true
292-15-1637,PH000157,true
883-25-8167,PH000158,true
721-60-9423,PH000159,true
564-23-1793,PH000160,true
553-20-6857,PH000161,true
388-64-7101,PH000162,true
108-59-6630,PH000163,true
896-83-3075,PH000164,true
886-66-8828,PH000165,true
969-69-6071,PH000166,true
124-43-3792,PH000167,true
132-22-6410,PH000168,true
451-18-1368,PH000169,true
778-52-5214,PH000170,true
239-28-5418,PH000171,true
677-61-4647,PH000172,true
825-95-2348,PH000173,true
513-71-3412,PH000174,true
293-60-4241,PH000175,true
256-21-1459,PH000176,true
612-77-9275,PH000177,true
428-35-8741,PH000178,true
176-27-4371,PH000179,true
350-15-8559,PH000180,true
301-99-9349,PH000181,true
498-44-6621,PH000182,true
161-60-1187,PH000183,true
925-69-2553,PH000184,true
828-99-3399,PH000185,true
285-62-9556,PH000186,true
360-12-3782,PH000187,true
522-34-8908,PH000188,true
178-66-2971,PH000189,true
300-52-3358,PH000190,true
124-50-3597,PH000191,true
587-10-7522,PH000192,true
435-66-4786,PH000193,true
441-83-1654,PH000194,true
930-99-3959,PH000195,true
501-18-1522,PH000196,true
586-85-8368,PH000197,true
556-78-5663,PH000198,true
924-31-3285,PH000199,true
292-80-8527,PH000200,true
371-50-9171,PH000201,true
782-41-1033,PH000202,true
408-88-6262,PH000203,true
841-12-5533,PH000204,true
317-46-3847,PH000205,true
334-17-4208,PH000206,true
120-46-3188,PH000207,true
497-52-1898,PH000208,true
236-30-6656,PH000209,true
527-41-1814,PH000210,true
439-84-9137,PH000211,true
316-45-8354,PH000212,true
585-24-7077,PH000213,true
582-65-8059,PH000214,true
627-50-4044,PH000215,true
339-80-3840,PH000216,true
391-94-4752,PH000217,true
331-68-6929,PH000218,true
480-14-9863,PH000219,true
585-88-9587,PH000220,true
298-82-7395,PH000221,true
950-13-7225,PH000222,true
282-88-7878,PH000223,true
119-77-2544,PH000224,true
826-64-1909,PH000225,true
918-33-4481,PH000226,true
533-87-3090,PH000227,true
951-75-5479,PH000228,true
886-28-6903,PH000229,true
173-48-4761,PH000230,true
398-91-6827,PH000231,true
253-30-9560,PH000232,true
816-80-5538,PH000233,true
360-49-2939,PH000234,true
247-51-9064,PH000235,true
135-58-7644,PH000236,true
859-98-8527,PH000237,true
649-66-6821,PH000238,true
768-21-7327,PH000239,true
224-11-6953,PH000240,true
365-35-9759,PH000241,true
748-62-8759,PH000242,true
378-57-5750,PH000243,true
533-87-1925,PH000244,true
737-52-7543,PH000245,true
730-36-2233,PH000246,true
345-15-1909,PH000247,true
242-18-4779,PH000248,true
599-60-7858,PH000249,true
486-96-6534,PH000250,true
113-35-7793,PH000251,true
583-86-3949,PH000252,true
550-25-7403,PH000253,true
340-26-7434,PH000254,true
758-55-8252,PH000255,true
828-11-7167,PH000256,true
497-52-6738,PH000257,true
681-51-7671,PH000258,true
980-77-4181,PH000259,true
542-84-8207,PH000260,true
183-76-2713,PH000261,true
874-90-8740,PH000262,true
285-76-7824,PH000263,true
633-76-7370,PH000264,true
156-20-9919,PH000265,true
473-97-9897,PH000266,true
983-85-1920,PH000267,true
696-41-1480,PH000268,true
862-90-1808,PH000269,true
590-30-4400,PH000270,true
762-83-3385,PH000271,true
618-83-9887,PH000272,true
554-75-5624,PH000273,true
862-46-8858,PH000274,true
342-94-2052,PH000275,true
399-24-2941,PH000276,true
462-84-5527,PH000277,true
977-15-7842,PH000278,true
681-95-9320,PH000279,true
180-88-8998,PH000280,true
994-14-8708,PH000281,true
144-65-3936,PH000282,true
816-73-1469,PH000283,true
586-54-6798,PH000284,true
947-19-3306,PH000285,true
877-14-2725,PH000286,true
703-67-1720,PH000287,true
955-70-4932,PH000288,true
719-47-6651,PH000289,true
279-69-3666,PH000290,true
226-34-3203,PH000291,true
707-13-6342,PH000292,true
120-82-5215,PH000293,true
579-26-2666,PH000294,true
672-69-1592,PH000295,true
753-89-3896,PH000296,true
143-12-4664,PH000297,true
329-33-8137,PH000298,true
117-11-8972,PH000299,true
339-66-1320,PH000300,true
713-36-6888,PH000301,true
430-50-2650,PH000302,true
678-35-5615,PH000303,true
786-92-2423,PH000304,true
388-19-5955,PH000305,true
901-76-1736,PH000306,true
146-99-7245,PH000307,true
293-94-3228,PH000308,true
828-71-9232,PH000309,true
634-69-1610,PH000310,true
778-24-6073,PH000311,true
109-55-9179,PH000312,true
633-99-3606,PH000313,true
939-42-5048,PH000314,true
671-14-3034,PH000315,true
718-53-6436,PH000316,true
795-56-5188,PH000317,true
764-47-2673,PH000318,true
761-23-8637,PH000319,true
206-65-1873,PH000320,true
521-36-9648,PH000321,true
815-45-6392,PH000322,true
110-13-6775,PH000323,true
369-27-2033,PH000324,true
390-49-6309,PH000325,true
485-81-4359,PH000326,true
874-87-6917,PH000327,true
662-16-3088,PH000328,true
326-79-6814,PH000329,true
687-84-8471,PH000330,true
986-44-7366,PH000331,true
718-11-2987,PH000332,true
916-44-8225,PH000333,true
863-99-6580,PH000334,true
135-68-4399,PH000335,true
994-38-5931,PH000336,true
247-62-8436,PH000337,true
670-23-1349,PH000338,true
209-19-4635,PH000339,true
681-38-2218,PH000340,true
799-30-9061,PH000341,true
981-74-1214,PH000342,true
156-16-8511,PH000343,true
472-87-3863,PH000344,true
978-47-7624,PH000345,true
234-33-2442,PH000346,true
901-76-2415,PH000347,true
675-14-5302,PH000348,true
961-39-1653,PH000349,true
222-74-5847,PH000350,true
832-82-1916,PH000351,true
323-61-5521,PH000352,true
781-18-2116,PH000353,true
259-98-1903,PH000354,true
854-31-4081,PH000355,true
222-41-4988,PH000356,true
927-34-7212,PH000357,true
417-19-3653,PH000358,true
234-29-2887,PH000359,true
858-92-1341,PH000360,true
608-50-7085,PH000361,true
233-81-5357,PH000362,true
803-22-1675,PH000363,true
703-59-1496,PH000364,true
610-19-7386,PH000365,true
353-43-2680,PH000366,true
590-49-4523,PH000367,true
944-66-1431,PH000368,true
134-68-6227,PH000369,true
484-70-4031,PH000370,true
827-63-8090,PH000371,true
240-92-7375,PH000372,true
906-59-8191,PH000373,true
350-37-3302,PH000374,true
467-97-3803,PH000375,true
867-51-2023,PH000376,true
894-93-3478,PH000377,true
308-64-2113,PH000378,true
264-50-8939,PH000379,true
376-34-1166,PH000380,true
870-23-1563,PH000381,true
278-73-7762,PH000382,true
226-21-6102,PH000383,true
958-67-4231,PH000384,true
777-52-2360,PH000385,true
155-70-5485,PH000386,true
642-71-6726,PH000387,true
824-43-5901,PH000388,true
684-33-8931,PH000389,true
810-55-9486,PH000390,true
950-99-4965,PH000391,true
414-86-4067,PH000392,true
632-98-1798,PH000393,true
715-90-6417,PH000394,true
338-15-4418,PH000395,true
897-19-3692,PH000396,true
137-51-7593,PH000397,true
157-46-9009,PH000398,true
604-91-5224,PH000399,true
729-73-7453,PH000400,true
187-73-4015,PH000401,true
104-11-5246,PH000402,true
219-53-4471,PH000403,true
320-87-8621,PH000404,true
367-73-5873,PH000405,true
740-33-8695,PH000406,true
739-60-1484,PH000407,true
487-63-6598,PH000408,true
938-36-3205,PH000409,true
816-85-2297,PH000410,true
234-70-6642,PH000411,true
933-50-8199,PH000412,true
758-71-5253,PH000413,true
234-36-3679,PH000414,true
755-45-3071,PH000415,true
947-19-9638,PH000416,true
553-48-2214,PH000417,true
552-22-9183,PH000418,true
264-79-6897,PH000419,true
317-62-1751,PH000420,true
358-22-1815,PH000421,true
550-60-2969,PH000422,true
198-34-3190,PH000423,true
155-19-5215,PH000424,true
259-66-4999,PH000425,true
169-54-6988,PH000426,true
109-71-1390,PH000427,true
678-82-2758,PH000428,true
857-99-6924,PH000429,true
682-52-1161,PH000430,true
903-60-6322,PH000431,true
840-43-6647,PH000432,true
176-83-4199,PH000433,true
120-23-7659,PH000434,true
125-45-6487,PH000435,true
398-75-2990,PH000436,true
623-21-2791,PH000437,true
984-84-2633,PH000438,true
631-84-9107,PH000439,true
128-90-8024,PH000440,true
298-70-1028,PH000441,true
574-20-3660,PH000442,true
330-36-9442,PH000443,true
354-37-1585,PH000444,true
443-95-9764,PH000445,true
765-25-1465,PH000446,true
294-75-1942,PH000447,true
176-84-3995,PH000448,true
535-45-8897,PH000449,true
467-42-9871,PH000450,true
468-42-2205,PH000451,true
521-42-8750,PH000452,true
601-54-5386,PH000453,true
414-58-4587,PH000454,true
872-85-7580,PH000455,true
442-64-5773,PH000456,true
941-85-1568,PH000457,true
777-17-1823,PH000458,true
936-86-3820,PH000459,true
402-11-6733,PH000460,true
602-48-8258,PH000461,true
384-67-5792,PH000462,true
912-32-8545,PH000463,true
458-87-6752,PH000464,true
424-55-1969,PH000465,true
250-65-8109,PH000466,true
998-96-9773,PH000467,true
823-11-2320,PH000468,true
903-59-5413,PH000469,true
496-27-7184,PH000470,true
559-26-8073,PH000471,true
454-99-3339,PH000472,true
753-29-2478,PH000473,true
389-56-1437,PH000474,true
452-23-6331,PH000475,true
731-96-1106,PH000476,true
306-98-4508,PH000477,true
663-33-1455,PH000478,true
550-10-2187,PH000479,true
894-43-4063,PH000480,true
740-24-9898,PH000481,true
668-55-3175,PH000482,true
592-39-7985,PH000483,true
793-80-7500,PH000484,true
687-21-5727,PH000485,true
683-92-8843,PH000486,true
413-25-2145,PH000487,true
536-16-8978,PH000488,true
643-48-2658,PH000489,true
188-11-6698,PH000490,true
412-75-6514,PH000491,true
560-36-1860,PH000492,true
210-42-1891,PH000493,true
357-61-8120,PH000494,true
878-83-6491,PH000495,true
512-27-2181,PH000496,true
482-49-5053,PH000497,true
440-54-8953,PH000498,true
284-35-9689,PH000499,true
468-32-6987,PH000500,true
340-88-1413,PH000501,true
499-47-7295,PH000502,true
145-81-8420,PH000503,true
151-10-5919,PH000504,true
436-91-4137,PH000505,true
513-45-8020,PH000506,true
923-24-5639,PH000507,true
126-44-4751,PH000508,true
661-42-1249,PH000509,true
203-30-6480,PH000510,true
951-89-5056,PH000511,true
674-42-6976,PH000512,true
454-67-1183,PH000513,true
125-23-9080,PH000514,true
449-42-9209,PH000515,true
480-61-5886,PH000516,true
343-51-3405,PH000517,true
254-13-8218,PH000518,true
538-46-1926,PH000519,true
393-48-2448,PH000520,true
354-90-2933,PH000521,true
333-96-6250,PH000522,true
979-66-8335,PH000523,true
411-52-5987,PH000524,true
914-97-6587,PH000525,true
450-28-4596,PH000526,true
868-28-7609,PH000527,true
328-87-5359,PH000528,true
129-16-5327,PH000529,true
189-44-6455,PH000530,true
243-56-1525,PH000531,true
163-33-3302,PH000532,true
354-26-7071,PH000533,true
966-24-6210,PH000534,true
272-49-4542,PH000535,true
213-36-1674,PH000536,true
562-60-2570,PH000537,true
691-27-1395,PH000538,true
821-51-7115,PH000539,true
311-67-9911,PH000540,true
185-29-1630,PH000541,true
888-30-6372,PH000542,true
383-13-3954,PH000543,true
598-35-9695,PH000544,true
748-97-6645,PH000545,true
168-25-4014,PH000546,true
309-77-3521,PH000547,true
554-55-3504,PH000548,true
386-72-9062,PH000549,true
823-80-3506,PH000550,true
554-39-7010,PH000551,true
388-62-4033,PH000552,true
207-85-9744,PH000553,true
985-34-2882,PH000554,true
884-67-1040,PH000555,true
518-77-2857,PH000556,true
732-29-9779,PH000557,true
356-94-7144,PH000558,true
909-86-6544,PH000559,true
911-87-9595,PH000560,true
453-76-9134,PH000561,true
997-43-5899,PH000562,true
256-30-5726,PH000563,true
134-90-5902,PH000564,true
673-20-5578,PH000565,true
364-20-8776,PH000566,true
521-54-8312,PH000567,true
272-82-1020,PH000568,true
237-10-3515,PH000569,true
741-97-8248,PH000570,true
420-65-7364,PH000571,true
754-54-8447,PH000572,true
745-48-5166,PH000573,true
736-19-7301,PH000574,true
647-18-5906,PH000575,true
980-35-6466,PH000576,true
762-66-9273,PH000577,true
457-92-4451,PH000578,true
561-80-4484,PH000579,true
393-39-1611,PH000580,true
342-27-2475,PH000581,true
654-38-2786,PH000582,true
816-13-2188,PH000583,true
555-54-7499,PH000584,true
489-12-7248,PH000585,true
464-87-4635,PH000586,true
328-92-2581,PH000587,true
465-77-4633,PH000588,true
363-75-5373,PH000589,true
125-26-1592,PH000590,true
908-16-8614,PH000591,true
286-23-1633,PH000592,true
541-97-8500,PH000593,true
270-47-1173,PH000594,true
663-58-5810,PH000595,true
716-78-6897,PH000596,true
862-50-3660,PH000597,true
559-67-9911,PH000598,true
709-92-1548,PH000599,true
599-53-7064,PH000600,true
856-51-4437,PH000601,true
465-42-5638,PH000602,true
320-13-8602,PH000603,true
205-30-9413,PH000604,true
777-66-8331,PH000605,true
137-53-8242,PH000606,true
574-26-4003,PH000607,true
869-66-5695,PH000608,true
330-55-1187,PH000609,true
654-31-1973,PH000610,true
294-77-9963,PH000611,true
962-56-5927,PH000612,true
616-57-4182,PH000613,true
430-22-9406,PH000614,true
956-34-9841,PH000615,true
340-76-4544,PH000616,true
361-53-9191,PH000617,true
383-70-5878,PH000618,true
861-84-1537,PH000619,true
253-42-8585,PH000620,true
875-82-7876,PH000621,true
415-91-6395,PH000622,true
822-19-6737,PH000623,true
465-17-9642,PH000624,true
669-15-5278,PH000625,true
240-67-8705,PH000626,true
587-22-2161,PH000627,true
694-45-8092,PH000628,true
130-75-7527,PH000629,true
998-93-2075,PH000630,true
187-49-1710,PH000631,true
695-42-2615,PH000632,true
490-19-1524,PH000633,true
868-46-8891,PH000634,true
207-32-4508,PH000635,true
521-46-2170,PH000636,true
141-53-6658,PH000637,true
689-17-5025,PH000638,true
883-24-7235,PH000639,true
172-44-6210,PH000640,true
605-88-5222,PH000641,true
684-24-6245,PH000642,true
783-71-4363,PH000643,true
152-67-8976,PH000644,true
856-32-8102,PH000645,true
639-12-6721,PH000646,true
913-84-3785,PH000647,true
724-82-2491,PH000648,true
950-31-7012,PH000649,true
752-13-8803,PH000650,true
683-49-7991,PH000651,true
727-78-5096,PH000652,true
274-94-9558,PH000653,true
275-26-5229,PH000654,true
959-90-1088,PH000655,true
512-74-9355,PH000656,true
611-96-6262,PH000657,true
466-54-7684,PH000658,true
440-24-2676,PH000659,true
723-56-2459,PH000660,true
752-89-8334,PH000661,true
343-54-3699,PH000662,true
594-36-7410,PH000663,true
330-85-2679,PH000664,true
655-56-1966,PH000665,true
700-43-3574,PH000666,true
300-20-5437,PH000667,true
880-77-5789,PH000668,true
688-18-2352,PH000669,true
142-66-5797,PH000670,true
526-68-5875,PH000671,true
450-28-8872,PH000672,true
635-76-1115,PH000673,true
408-28-6515,PH000674,true
232-99-9416,PH000675,true
410-82-5393,PH000676,true
694-45-2478,PH000677,true
586-19-6763,PH000678,true
611-53-5305,PH000679,true
488-27-8167,PH000680,true
106-32-8128,PH000681,true
635-22-4641,PH000682,true
199-46-9860,PH000683,true
939-30-6181,PH000684,true
330-25-8230,PH000685,true
756-84-9548,PH000686,true
529-12-7536,PH000687,true
145-76-7243,PH000688,true
525-13-4863,PH000689,true
287-61-5985,PH000690,true
974-72-5604,PH000691,true
114-41-6319,PH000692,true
122-57-4748,PH000693,true
543-76-7476,PH000694,true
194-49-2152,PH000695,true
881-62-3768,PH000696,true
260-37-3067,PH000697,true
131-84-6069,PH000698,true
632-36-1834,PH000699,true
408-83-7994,PH000700,true
902-16-2588,PH000701,true
832-75-8582,PH000702,true
549-53-4628,PH000703,true
828-67-2548,PH000704,true
418-55-9626,PH000705,true
346-90-7773,PH000706,true
921-87-9528,PH000707,true
752-82-8416,PH000708,true
721-71-3845,PH000709,true
253-34-7959,PH000710,true
375-22-5224,PH000711,true
304-19-9518,PH000712,true
484-98-4086,PH000713,true
495-11-3365,PH000714,true
529-32-5284,PH000715,true
952-45-5072,PH000716,true
948-62-4937,PH000717,true
697-52-1114,PH000718,true
887-22-3719,PH000719,true
279-42-2867,PH000720,true
654-96-8222,PH000721,true
192-82-2515,PH000722,true
397-85-2006,PH000723,true
560-82-9079,PH000724,true
553-79-6589,PH000725,true
410-71-1497,PH000726,true
260-55-8756,PH000727,true
733-40-6609,PH000728,true
450-98-6882,PH000729,true
667-22-8612,PH000730,true
309-54-6891,PH000731,true
180-25-7462,PH000732,true
484-57-1368,PH000733,true
315-39-8222,PH000734,true
564-61-7856,PH000735,true
864-75-6022,PH000736,true
805-84-7755,PH000737,true
859-54-5988,PH000738,true
746-47-8650,PH000739,true
429-65-9962,PH000740,true
714-39-2141,PH000741,true
667-26-8537,PH000742,true
382-11-8720,PH000743,true
357-70-3538,PH000744,true
854-90-2457,PH000745,true
786-79-1894,PH000746,true
461-71-7428,PH000747,true
638-87-4742,PH000748,true
343-31-2334,PH000749,true
874-12-9155,PH000750,true
729-55-5638,PH000751,true
895-45-4873,PH000752,true
436-40-7125,PH000753,true
532-27-8424,PH000754,true
794-87-6613,PH000755,true
454-81-6611,PH000756,true
928-75-3924,PH000757,true
479-21-2600,PH000758,true
640-57-2963,PH000759,true
401-62-7405,PH000760,true
173-84-7879,PH000761,true
217-97-3236,PH000762,true
279-80-8167,PH000763,true
227-97-4735,PH000764,true
774-20-7552,PH000765,true
727-73-5653,PH000766,true
525-98-5459,PH000767,true
601-10-2285,PH000768,true
753-64-1548,PH000769,true
592-57-8735,PH000770,true
367-10-5754,PH000771,true
422-29-6794,PH000772,true
184-16-2815,PH000773,true
523-96-1527,PH000774,true
211-82-1169,PH000775,true
842-67-2820,PH000776,true
875-14-3494,PH000777,true
613-21-5757,PH000778,true
324-97-4582,PH000779,true
639-19-1770,PH000780,true
834-87-3477,PH000781,true
648-79-9720,PH000782,true
231-67-2912,PH000783,true
845-20-8451,PH000784,true
923-72-4146,PH000785,true
532-23-8442,PH000786,true
892-82-8071,PH000787,true
882-57-9462,PH000788,true
521-27-1342,PH000789,true
270-31-1712,PH000790,true
167-20-8852,PH000791,true
650-75-3917,PH000792,true
917-89-8682,PH000793,true
137-77-3161,PH000794,true
841-75-5478,PH000795,true
261-46-5026,PH000796,true
105-45-4662,PH000797,true
903-30-4401,PH000798,true
421-92-2294,PH000799,true
290-40-7009,PH000800,true
286-12-5240,PH000801,true
545-67-9867,PH000802,true
877-38-3742,PH000803,true
872-51-7075,PH000804,true
996-35-4281,PH000805,true
203-82-1776,PH000806,true
799-14-2897,PH000807,true
591-49-6285,PH000808,true
689-27-2609,PH000809,true
751-23-3167,PH000810,true
985-38-7034,PH000811,true
605-64-6663,PH000812,true
908-68-4664,PH000813,true
770-30-2195,PH000814,true
977-43-5973,PH000815,true
504-64-4005,PH000816,true
209-94-3948,PH000817,true
757-51-9991,PH000818,true
399-87-7327,PH000819,true
836-18-5632,PH000820,true
750-44-1714,PH000821,true
473-68-1331,PH000822,true
550-35-2866,PH000823,true
147-89-1422,PH000824,true
896-38-2116,PH000825,true
664-68-6525,PH000826,true
165-28-2709,PH000827,true
264-76-8513,PH000828,true
599-20-9604,PH000829,true
463-56-7279,PH000830,true
645-77-5629,PH000831,true
822-45-2083,PH000832,true
379-39-6523,PH000833,true
851-97-5945,PH000834,true
442-97-2016,PH000835,true
218-54-1798,PH000836,true
639-51-2270,PH000837,true
151-57-7652,PH000838,true
281-91-7954,PH000839,true
458-86-1027,PH000840,true
703-56-7976,PH000841,true
622-20-7544,PH000842,true
671-27-2658,PH000843,true
340-75-1469,PH000844,true
152-61-2166,PH000845,true
340-95-1733,PH000846,true
285-66-2171,PH000847,true
634-42-9451,PH000848,true
961-85-5592,PH000849,true
188-46-7362,PH000850,true
574-54-4549,PH000851,true
976-63-5186,PH000852,true
472-98-1816,PH000853,true
449-53-5290,PH000854,true
764-17-4589,PH000855,true
691-12-6375,PH000856,true
358-32-2522,PH000857,true
384-86-2490,PH000858,true
957-37-6872,PH000859,true
775-69-4392,PH000860,true
253-87-6184,PH000861,true
537-52-2819,PH000862,true
270-85-9547,PH000863,true
705-97-6641,PH000864,true
892-59-2277,PH000865,true
611-35-9441,PH000866,true
189-29-9903,PH000867,true
934-63-7165,PH000868,true
764-44-5916,PH000869,true
510-74-3033,PH000870,true
150-22-4662,PH000871,true
778-98-3481,PH000872,true
927-24-6567,PH000873,true
788-37-4098,PH000874,true
157-48-2845,PH000875,true
675-20-6634,PH000876,true
278-62-8658,PH000877,true
769-11-4548,PH000878,true
670-34-6695,PH000879,true
590-93-5831,PH000880,true
523-15-4037,PH000881,true
396-62-3152,PH000882,true
634-18-7267,PH000883,true
605-10-7342,PH000884,true
290-85-7105,PH000885,true
885-76-8491,PH000886,true
357-87-1187,PH000887,true
765-22-6697,PH000888,true
575-73-5924,PH000889,true
901-67-8934,PH000890,true
274-35-7810,PH000891,true
947-62-8382,PH000892,true
632-55-9679,PH000893,true
301-43-6813,PH000894,true
451-67-1180,PH000895,true
765-47-5668,PH000896,true
723-82-8136,PH000897,true
674-81-6764,PH000898,true
942-59-9249,PH000899,true
766-11-7456,PH000900,true
508-97-5686,PH000901,true
666-92-4872,PH000902,true
845-67-2052,PH000903,true
755-78-4215,PH000904,true
872-13-6988,PH000905,true
838-20-7592,PH000906,true
567-55-6554,PH000907,true
993-80-5403,PH000908,true
129-88-3860,PH000909,true
487-57-6547,PH000910,true
668-90-4018,PH000911,true
448-98-6365,PH000912,true
290-63-9724,PH000913,true
268-75-1475,PH000914,true
698-84-6015,PH000915,true
194-85-4405,PH000916,true
583-36-9097,PH000917,true
899-82-6418,PH000918,true
335-50-4081,PH000919,true
888-73-5961,PH000920,true
996-83-9496,PH000921,true
315-82-6188,PH000922,true
637-17-4828,PH000923,true
179-18-5902,PH000924,true
631-12-1308,PH000925,true
955-32-3021,PH000926,true
574-63-2824,PH000927,true
126-85-2180,PH000928,true
210-46-8132,PH000929,true
420-91-4690,PH000930,true
390-35-9956,PH000931,true
981-90-8539,PH000932,true
953-97-7628,PH000933,true
385-91-7019,PH000934,true
699-63-2780,PH000935,true
312-32-9015,PH000936,true
435-87-8205,PH000937,true
483-17-6741,PH000938,true
272-68-7915,PH000939,true
656-66-9548,PH000940,true
691-37-6395,PH000941,true
523-23-6478,PH000942,true
741-16-3332,PH000943,true
925-73-6740,PH000944,true
345-71-7552,PH000945,true
648-95-5579,PH000946,true
885-60-9235,PH000947,true
566-32-4134,PH000948,true
897-99-2019,PH000949,true
414-72-7503,PH000950,true
153-28-9352,PH000951,true
852-60-6474,PH000952,true
680-12-1592,PH000953,true
630-38-2186,PH000954,true
992-34-8298,PH000955,true
475-71-3715,PH000956,true
901-50-8678,PH000957,true
880-93-8684,PH000958,true
397-27-6906,PH000959,true
823-93-4969,PH000960,true
431-80-2740,PH000961,true
769-61-9104,PH000962,true
185-58-3264,PH000963,true
982-37-1270,PH000964,true
809-30-7680,PH000965,true
983-72-5104,PH000966,true
768-53-1638,PH000967,true
551-64-8098,PH000968,true
313-17-5056,PH000969,true
744-80-1969,PH000970,true
748-60-5866,PH000971,true
260-42-5553,PH000972,true
834-18-8542,PH000973,true
124-66-2494,PH000974,true
382-84-3750,PH000975,true
335-38-7145,PH000976,true
899-93-2207,PH000977,true
772-81-3432,PH000978,true
299-37-6874,PH000979,true
588-63-4108,PH000980,true
599-35-4402,PH000981,true
805-14-2245,PH000982,true
785-23-9761,PH000983,true
470-75-1110,PH000984,true
336-48-8442,PH000985,true
522-88-7033,PH000986,true
723-93-4872,PH000987,true
695-68-5336,PH000988,true
155-52-9532,PH000989,true
689-61-7191,PH000990,true
525-28-8260,PH000991,true
954-33-4561,PH000992,true
979-63-8378,PH000993,true
873-18-8163,PH000994,true
785-64-3839,PH000995,true
780-87-9197,PH000996,true
897-12-6780,PH000997,true
