person1Ssn,person2Ssn,type,since
586-21-5869,233-41-1990,undisclosed,2020-02-14
688-80-6389,579-51-5057,undisclosed,2020-11-06
463-49-2907,598-65-8992,undisclosed,2020-09-06
377-40-8997,364-29-7552,undisclosed,2018-05-16
905-26-5873,520-30-1511,undisclosed,2022-07-02
316-34-1575,797-83-9945,undisclosed,2022-11-08
974-91-3995,810-46-7822,undisclosed,2018-02-14
810-29-5197,723-24-2772,undisclosed,2022-11-05
948-63-1285,284-53-6485,undisclosed,2021-03-26
312-47-1862,228-16-9334,undisclosed,2019-02-15
910-82-3253,384-24-3315,undisclosed,2020-11-16
291-14-4111,725-52-9464,undisclosed,2019-08-24
763-38-3057,736-66-7785,undisclosed,2021-08-19
972-90-6719,945-86-6792,undisclosed,2019-04-18
609-73-1641,548-23-4254,undisclosed,2022-06-02
425-35-4288,522-85-9487,undisclosed,2022-12-31
904-18-6710,185-81-3154,undisclosed,2019-01-27
409-64-9249,637-43-8020,undisclosed,2020-02-05
754-45-8519,305-26-5623,undisclosed,2022-02-02
187-61-2189,715-71-4962,undisclosed,2018-03-24
666-33-8561,359-43-6850,undisclosed,2021-02-14
180-90-3982,553-43-1016,undisclosed,2020-02-11
729-65-7218,820-21-5526,undisclosed,2018-01-11
341-34-1465,487-82-9315,undisclosed,2022-07-01
808-31-8147,927-30-4012,undisclosed,2022-05-30
118-42-5856,599-21-2061,undisclosed,2019-09-20
299-38-2207,237-50-9589,undisclosed,2022-12-30
677-52-3932,217-41-9025,undisclosed,2020-12-14
113-56-4897,544-92-1337,undisclosed,2020-06-19
161-66-4907,919-34-2382,undisclosed,2022-02-01
912-93-9609,853-71-3419,undisclosed,2019-03-10
257-38-7632,667-92-8904,undisclosed,2018-05-28
536-13-4692,250-61-1771,undisclosed,2018-08-07
133-88-7891,284-70-8622,undisclosed,2019-08-18
637-89-1238,818-49-3432,undisclosed,2022-03-08
504-82-5384,967-17-7396,undisclosed,2022-02-07
582-99-9653,182-52-6069,undisclosed,2019-07-11
447-51-3036,755-97-3627,undisclosed,2020-01-04
988-48-5731,687-20-6157,undisclosed,2018-10-08
468-24-3174,876-80-2275,undisclosed,2020-04-22
217-21-7770,355-48-6006,undisclosed,2022-07-29
889-68-5014,461-33-2718,undisclosed,2020-11-06
253-83-4582,538-76-1946,undisclosed,2019-03-31
327-86-7070,706-29-6938,undisclosed,2020-06-05
850-56-6032,280-17-7538,undisclosed,2020-05-03
143-39-2292,852-42-4598,undisclosed,2022-04-17
950-51-3409,579-26-5940,undisclosed,2020-05-15
601-27-6933,443-36-1291,undisclosed,2022-04-19
420-32-9784,776-94-2140,undisclosed,2019-08-16
266-22-7218,496-96-1769,undisclosed,2021-10-15
483-26-6658,792-37-1943,undisclosed,2018-06-09
848-36-4280,448-13-1165,undisclosed,2019-05-29
148-17-4016,907-15-5348,undisclosed,2019-01-20
404-33-2938,595-48-2202,undisclosed,2018-02-02
561-23-5320,667-58-8735,undisclosed,2018-08-25
274-30-5267,619-67-5499,undisclosed,2022-10-18
762-32-8524,982-87-7748,undisclosed,2021-08-31
270-19-9321,237-53-7403,undisclosed,2022-12-15
689-12-5887,572-90-1960,undisclosed,2019-04-16
380-54-4196,278-25-3259,undisclosed,2022-06-04
991-59-9056,717-81-1623,undisclosed,2021-07-22
827-81-2086,851-16-9591,undisclosed,2020-11-25
149-62-4013,330-43-1534,undisclosed,2018-02-02
346-74-9158,348-58-8324,undisclosed,2022-03-18
852-61-6862,865-90-8134,undisclosed,2018-09-15
701-13-5092,380-45-6031,undisclosed,2021-09-22
544-89-5917,268-51-8446,undisclosed,2018-11-13
218-59-6294,147-77-4993,undisclosed,2020-03-22
719-35-6116,165-80-2539,undisclosed,2020-03-22
586-70-9576,811-50-9172,undisclosed,2020-03-03
681-97-8257,203-80-8555,undisclosed,2021-12-24
598-93-6756,465-44-7503,undisclosed,2021-03-27
254-50-5728,808-34-1517,undisclosed,2018-03-09
752-52-8669,982-61-4731,undisclosed,2021-07-06
918-70-8368,462-21-6060,undisclosed,2019-12-26
182-84-1414,149-67-1574,undisclosed,2020-10-31
990-53-7765,876-98-4800,undisclosed,2022-11-26
223-15-9080,497-52-9569,undisclosed,2019-07-09
734-51-5684,723-92-2972,undisclosed,2021-08-15
771-34-9057,845-59-2695,undisclosed,2021-11-08
164-78-1461,743-68-7778,undisclosed,2020-09-21
506-48-7425,419-33-7435,undisclosed,2018-06-27
969-20-8370,752-90-2326,undisclosed,2022-10-17
603-41-4785,357-87-5112,undisclosed,2020-06-09
933-63-4440,538-92-6013,undisclosed,2019-06-13
598-84-5530,995-88-4549,undisclosed,2020-06-13
799-65-4483,175-73-7494,undisclosed,2022-01-12
915-36-4765,822-27-1134,undisclosed,2022-05-02
432-65-6768,624-26-9312,undisclosed,2018-07-16
248-86-1122,753-51-9026,undisclosed,2021-09-01
367-95-5145,292-79-4940,undisclosed,2020-04-22
359-18-4701,849-10-4236,undisclosed,2020-04-08
375-53-5266,667-48-8346,undisclosed,2021-11-08
455-65-2422,156-32-3758,undisclosed,2021-03-19
129-67-9709,295-92-6002,undisclosed,2018-04-06
393-83-7116,892-92-7135,undisclosed,2018-05-14
291-83-1166,753-66-1827,undisclosed,2019-07-18
950-83-9224,823-55-6417,undisclosed,2020-11-26
651-78-7574,310-89-7191,undisclosed,2021-01-07
181-50-4233,277-36-8612,undisclosed,2020-01-23
581-59-4833,248-63-5699,undisclosed,2019-01-19
646-72-3977,826-60-1612,undisclosed,2018-11-26
126-84-3093,865-96-1074,undisclosed,2019-11-12
281-39-3062,998-36-8497,undisclosed,2018-02-01
486-72-4723,615-57-3016,undisclosed,2021-10-05
761-22-8180,397-58-1980,undisclosed,2019-03-08
299-27-9754,820-12-1337,undisclosed,2020-01-16
581-40-2002,557-45-9329,undisclosed,2022-06-16
840-53-6256,252-40-8527,undisclosed,2019-07-17
826-38-7849,999-34-2857,undisclosed,2019-05-25
518-91-8366,147-30-6892,undisclosed,2022-06-29
382-94-9324,736-38-6869,undisclosed,2018-11-17
146-29-1827,161-76-5534,undisclosed,2021-03-24
879-30-1941,595-59-6165,undisclosed,2020-05-16
316-52-5522,743-47-5100,undisclosed,2019-03-13
685-49-2549,374-86-6125,undisclosed,2020-11-18
392-18-5095,455-43-5117,undisclosed,2019-10-29
727-43-4618,264-40-4500,undisclosed,2019-01-28
898-74-7299,572-86-3934,undisclosed,2022-07-27
348-31-6298,504-38-9031,undisclosed,2019-10-13
357-86-1007,780-13-7324,undisclosed,2019-06-24
720-22-2393,559-62-5938,undisclosed,2018-08-26
782-34-8768,450-99-3132,undisclosed,2018-09-25
713-68-7299,742-60-5859,undisclosed,2018-09-25
469-89-6905,765-45-7364,undisclosed,2020-11-14
354-71-1462,549-74-9720,undisclosed,2021-03-21
439-13-4802,595-95-6928,undisclosed,2021-05-10
206-16-7777,995-81-4428,undisclosed,2021-05-20
859-84-3609,511-31-2941,undisclosed,2021-03-31
483-96-1599,624-71-5203,undisclosed,2018-03-11
243-51-9858,360-77-4283,undisclosed,2020-05-05
906-57-2546,153-52-4626,undisclosed,2018-07-14
329-72-5063,845-17-7002,undisclosed,2019-08-16
106-33-7521,133-72-7731,undisclosed,2018-05-10
752-31-5165,800-79-7138,undisclosed,2018-04-21
720-29-9072,288-99-4574,undisclosed,2019-03-28
490-86-6826,582-18-2301,undisclosed,2020-02-05
588-84-3582,612-40-5193,undisclosed,2019-12-31
817-28-2343,750-27-1080,undisclosed,2020-09-23
157-72-3321,254-11-2952,undisclosed,2022-01-10
461-77-8898,468-85-7581,undisclosed,2018-05-03
155-43-7786,716-83-5317,undisclosed,2019-10-19
527-31-7213,714-33-5732,undisclosed,2020-11-28
433-39-7777,633-51-8003,undisclosed,2020-10-22
265-87-4430,749-24-4026,undisclosed,2019-06-18
892-81-3454,289-26-1539,undisclosed,2019-11-24
307-71-8138,394-64-4178,undisclosed,2021-02-02
454-65-3732,452-25-9254,undisclosed,2022-10-30
683-38-4016,872-77-3604,undisclosed,2022-02-05
667-27-6853,707-58-4525,undisclosed,2019-06-25
833-35-4499,524-84-1870,undisclosed,2022-04-18
452-51-1578,231-59-7142,undisclosed,2021-05-27
964-38-8749,794-63-3495,undisclosed,2019-01-12
606-12-7509,272-66-9753,undisclosed,2022-12-25
577-88-4245,155-17-9598,undisclosed,2020-09-25
529-12-1039,433-41-8806,undisclosed,2021-12-20
293-10-7028,734-48-2226,undisclosed,2019-02-10
280-72-8337,888-74-4635,undisclosed,2021-01-11
485-97-2952,982-24-9077,undisclosed,2018-03-13
409-46-4978,997-14-6415,undisclosed,2022-12-07
348-99-8947,572-39-4014,undisclosed,2018-05-22
718-69-9433,716-98-5352,undisclosed,2018-12-18
791-14-2431,139-23-3458,undisclosed,2021-04-23
406-85-9310,688-81-7049,undisclosed,2019-06-01
548-71-2372,544-62-9109,undisclosed,2018-10-07
827-71-5361,165-49-4232,undisclosed,2018-06-04
678-45-1940,762-19-5105,undisclosed,2021-02-02
433-87-2480,318-47-2147,undisclosed,2021-08-17
724-61-5408,661-19-6800,undisclosed,2018-03-10
978-67-7381,345-86-6486,undisclosed,2019-12-29
395-88-9397,168-12-3248,undisclosed,2018-01-22
826-67-9950,236-13-2961,undisclosed,2020-11-04
948-96-4866,703-42-8638,undisclosed,2020-11-30
823-90-9768,210-64-3992,undisclosed,2021-09-20
629-91-4174,208-77-2233,undisclosed,2022-11-02
159-46-3124,608-48-6698,undisclosed,2018-02-25
740-64-3872,408-56-2112,undisclosed,2022-01-11
867-22-9338,229-88-2341,undisclosed,2021-04-13
594-85-3878,668-94-1335,undisclosed,2022-09-28
347-51-6086,919-53-2721,undisclosed,2020-10-29
855-74-2788,898-75-6283,undisclosed,2019-07-24
206-97-5503,899-35-8431,undisclosed,2018-05-14
376-37-2455,906-71-8600,undisclosed,2018-07-09
990-23-3373,781-15-8605,undisclosed,2018-01-08
740-16-9398,365-97-2581,undisclosed,2020-01-18
708-44-2039,605-93-7539,undisclosed,2018-07-12
627-92-4446,783-88-1854,undisclosed,2018-02-28
170-81-9895,392-26-2312,undisclosed,2020-01-18
621-60-6116,717-17-9661,undisclosed,2019-03-28
175-30-1532,237-18-4696,undisclosed,2018-03-20
377-67-3808,420-89-4847,undisclosed,2019-03-20
905-17-6826,102-65-3841,undisclosed,2019-10-13
576-29-5074,710-92-6732,undisclosed,2019-09-16
156-65-3848,578-40-1730,undisclosed,2021-01-19
577-70-6586,631-18-1076,undisclosed,2018-06-23
510-21-3309,191-77-9912,undisclosed,2019-01-04
954-98-1034,793-75-9319,undisclosed,2020-11-27
756-86-7787,649-94-9957,undisclosed,2021-11-09
546-50-5856,157-94-9013,undisclosed,2018-04-18
389-58-4995,927-42-5715,undisclosed,2019-11-22
371-91-7368,955-46-5441,undisclosed,2020-11-29
113-32-5683,828-84-6271,undisclosed,2019-04-10
671-65-8275,922-20-2816,undisclosed,2021-01-12
137-23-3376,524-13-4910,undisclosed,2019-02-12
367-49-3414,423-25-1244,undisclosed,2018-01-14
830-18-1580,698-60-5852,undisclosed,2021-10-04
734-79-1662,399-47-5956,undisclosed,2022-08-01
716-30-8129,823-53-3844,undisclosed,2019-03-03
128-39-4827,224-34-4526,undisclosed,2022-09-16
571-95-3750,723-62-1267,undisclosed,2018-07-07
122-66-7135,465-75-9503,undisclosed,2021-03-12
169-25-7003,302-43-3486,undisclosed,2021-01-01
237-58-2808,278-39-3021,undisclosed,2020-08-21
892-68-9016,302-57-7229,undisclosed,2022-07-11
992-73-3150,157-60-1647,undisclosed,2020-03-30
545-86-5858,212-84-8794,undisclosed,2022-01-15
856-22-5586,566-18-2926,undisclosed,2021-04-25
547-97-6834,619-80-5530,undisclosed,2019-08-27
668-94-2209,318-53-1354,undisclosed,2018-02-04
296-80-9458,206-64-4060,undisclosed,2021-12-15
400-57-8978,416-92-1217,undisclosed,2019-01-16
805-24-2003,685-18-4178,undisclosed,2020-01-11
969-40-1098,908-83-5446,undisclosed,2021-12-15
612-91-5752,597-22-4938,undisclosed,2018-09-30
488-32-3502,652-24-2779,undisclosed,2022-05-02
511-17-9694,492-13-8445,undisclosed,2022-08-15
231-50-3658,295-97-4175,undisclosed,2020-09-01
130-51-3186,844-16-3974,undisclosed,2021-01-10
318-16-8822,224-65-3040,undisclosed,2022-07-01
624-23-8004,326-39-2738,undisclosed,2019-04-24
230-67-2278,248-86-8606,undisclosed,2020-11-30
407-85-6810,123-62-8752,undisclosed,2018-01-30
849-10-5837,601-51-4645,undisclosed,2020-11-20
268-84-6134,429-98-9734,undisclosed,2018-04-13
444-81-7731,102-90-1289,undisclosed,2018-04-30
505-12-8466,274-40-8535,undisclosed,2019-02-21
550-82-2427,280-78-9025,undisclosed,2019-05-05
780-79-9785,159-11-5006,undisclosed,2018-05-14
381-45-8307,377-68-5306,undisclosed,2021-06-26
884-42-6104,845-51-8537,undisclosed,2020-09-24
616-91-6571,883-94-7376,undisclosed,2021-05-07
464-94-1359,634-34-7205,undisclosed,2019-01-22
313-45-2202,289-76-8959,undisclosed,2018-08-14
577-59-6723,130-30-7077,undisclosed,2020-12-27
438-73-8620,776-91-7328,undisclosed,2018-06-27
732-28-3073,362-60-5728,undisclosed,2022-01-05
141-39-2262,588-36-7589,undisclosed,2022-11-16
305-74-9049,726-25-1612,undisclosed,2020-01-12
420-48-6742,697-75-8078,undisclosed,2021-09-16
614-77-9162,916-67-5657,undisclosed,2019-09-03
978-26-5591,544-63-1331,undisclosed,2018-09-20
255-33-1444,192-52-4257,undisclosed,2021-08-19
325-28-6796,939-66-6690,undisclosed,2021-12-01
809-56-3862,211-90-3842,undisclosed,2019-08-31
709-70-2292,622-79-2809,undisclosed,2018-12-31
856-18-2058,748-88-5013,undisclosed,2022-08-17
945-94-6849,651-59-9180,undisclosed,2018-11-16
466-47-4395,213-43-9586,undisclosed,2018-09-11
791-46-3058,169-55-3258,undisclosed,2020-05-22
497-49-8323,720-70-3072,undisclosed,2018-05-02
204-88-1509,647-34-3170,undisclosed,2022-01-06
533-96-3523,436-84-8118,undisclosed,2020-02-25
879-80-9456,977-57-6291,undisclosed,2018-05-01
809-40-5125,338-53-3455,undisclosed,2022-02-20
857-63-3531,103-86-1900,undisclosed,2018-04-01
102-49-2972,148-68-7255,undisclosed,2018-08-22
583-41-8168,428-12-2159,undisclosed,2021-02-19
742-36-2484,752-47-1416,undisclosed,2022-06-06
955-16-2657,208-76-4683,undisclosed,2019-12-03
424-66-7918,490-31-2796,undisclosed,2019-12-20
724-50-9979,903-43-7449,undisclosed,2020-08-10
880-56-1536,123-16-5891,undisclosed,2020-07-28
484-48-2598,736-55-5431,undisclosed,2019-06-28
416-20-8703,421-47-7293,undisclosed,2021-12-22
450-92-3089,618-51-3768,undisclosed,2022-06-13
236-64-8771,669-37-2462,undisclosed,2019-02-12
306-28-4838,781-83-1864,undisclosed,2019-12-03
936-94-2697,190-82-5099,undisclosed,2022-04-14
734-35-8734,778-63-6879,undisclosed,2021-04-24
877-86-1726,875-59-4848,undisclosed,2021-04-10
605-69-3338,880-35-9988,undisclosed,2019-09-02
706-28-4608,269-67-4745,undisclosed,2021-04-28
672-14-5972,560-47-5948,undisclosed,2018-12-23
755-30-2699,882-61-3788,undisclosed,2020-08-07
279-43-7179,570-53-4683,undisclosed,2021-02-03
108-71-1894,917-45-5171,undisclosed,2018-12-11
817-44-4814,256-94-5853,undisclosed,2018-11-21
676-86-4951,919-73-5603,undisclosed,2021-03-06
805-20-2266,791-39-7414,undisclosed,2022-02-15
885-17-7672,484-80-5488,undisclosed,2019-01-08
308-83-3326,655-50-5024,undisclosed,2018-09-25
508-92-2431,308-52-7151,undisclosed,2019-05-31
793-65-7543,108-50-4552,undisclosed,2020-01-24
252-80-9368,631-98-3873,undisclosed,2019-01-24
146-39-9153,807-61-6970,undisclosed,2021-10-31
989-15-7361,347-99-7720,undisclosed,2020-02-24
286-26-1709,526-58-8126,undisclosed,2018-11-21
363-99-4990,329-99-1357,undisclosed,2019-08-10
203-20-3842,262-15-6953,undisclosed,2022-10-19
993-21-7650,992-88-4621,undisclosed,2019-04-12
822-72-6444,561-82-6689,undisclosed,2020-03-27
198-98-2723,409-85-7525,undisclosed,2020-01-05
110-96-5476,207-99-9320,undisclosed,2019-02-16
608-21-2128,281-56-4243,undisclosed,2018-08-29
913-93-8700,506-49-1403,undisclosed,2019-10-14
566-12-5651,746-55-6883,undisclosed,2019-09-03
325-10-4713,755-34-7533,undisclosed,2019-12-28
529-85-7139,773-43-6708,undisclosed,2018-08-01
443-79-3974,104-50-4894,undisclosed,2021-09-19
289-99-3748,653-73-2120,undisclosed,2021-09-19
552-60-9379,973-27-2174,undisclosed,2018-09-29
489-76-5803,488-58-7564,undisclosed,2020-04-13
554-39-8110,334-90-6701,undisclosed,2021-09-27
686-65-5435,951-81-7048,undisclosed,2020-07-07
324-71-8368,190-74-4680,undisclosed,2022-11-01
306-95-7949,346-50-6999,undisclosed,2019-01-21
886-22-5270,692-47-9802,undisclosed,2020-06-09
510-92-2439,220-47-7647,undisclosed,2019-05-28
514-91-9319,332-57-5040,undisclosed,2020-10-02
863-28-1711,369-70-7503,undisclosed,2022-04-30
665-14-3082,583-38-6986,undisclosed,2022-12-18
414-61-5409,626-76-1296,undisclosed,2022-02-23
493-83-5932,492-85-3578,undisclosed,2020-08-11
279-89-8265,450-68-7489,undisclosed,2018-07-26
184-80-7276,636-19-3321,undisclosed,2020-06-16
348-60-6326,426-76-4851,undisclosed,2022-02-24
199-65-9507,454-74-9699,undisclosed,2018-11-08
471-62-7582,684-62-8735,undisclosed,2018-12-30
463-60-7692,588-36-4181,undisclosed,2019-01-04
721-34-8082,400-43-3824,undisclosed,2018-04-14
447-99-6173,824-20-2220,undisclosed,2020-08-23
764-38-7043,829-64-7259,undisclosed,2022-07-13
618-43-5098,274-19-5746,undisclosed,2021-10-05
124-11-1590,472-35-2917,undisclosed,2019-02-13
871-84-7188,984-40-4672,undisclosed,2022-10-26
902-77-2622,136-28-4565,undisclosed,2020-09-04
743-54-9494,968-68-5620,undisclosed,2022-09-19
446-97-2979,998-34-7172,undisclosed,2019-06-23
257-63-5860,717-60-6821,undisclosed,2021-04-03
394-21-1538,848-37-8209,undisclosed,2018-08-10
924-15-2717,897-73-8226,undisclosed,2021-09-27
164-99-2909,814-67-4494,undisclosed,2020-06-12
597-75-4374,620-53-6008,undisclosed,2019-02-02
978-22-9796,208-65-6909,undisclosed,2022-10-03
232-69-9109,724-20-4908,undisclosed,2021-10-03
802-88-4417,798-15-4629,undisclosed,2022-08-14
972-83-7657,324-74-5772,undisclosed,2020-06-30
437-55-5213,775-29-6958,undisclosed,2020-12-02
198-11-7707,617-51-4245,undisclosed,2018-02-09
321-67-5708,489-69-9453,undisclosed,2021-11-01
327-50-2972,436-18-6069,undisclosed,2019-01-15
563-60-1002,902-77-2071,undisclosed,2022-05-14
168-20-2026,400-69-6929,undisclosed,2019-08-14
233-63-4101,230-71-2381,undisclosed,2020-12-04
802-95-8856,425-15-1762,undisclosed,2020-05-30
318-11-3549,918-83-9482,undisclosed,2020-03-31
705-62-1121,988-58-6939,undisclosed,2022-10-08
310-17-7320,784-38-6828,undisclosed,2022-06-06
667-99-3334,990-87-8156,undisclosed,2019-08-06
945-76-8587,339-84-3437,undisclosed,2019-01-30
310-98-3242,190-39-8897,undisclosed,2018-07-20
787-68-9114,192-14-9660,undisclosed,2021-11-09
337-21-8555,937-39-4181,undisclosed,2020-10-11
751-72-1580,116-58-7771,undisclosed,2022-12-13
194-93-7479,349-99-6276,undisclosed,2019-12-11
818-42-6675,663-10-3630,undisclosed,2020-10-17
106-80-4641,768-24-4941,undisclosed,2021-06-13
150-54-2121,342-19-8265,undisclosed,2018-07-16
120-89-5748,965-72-9163,undisclosed,2021-11-24
335-73-7852,600-60-6029,undisclosed,2022-03-21
724-94-5752,428-58-7968,undisclosed,2021-08-15
274-58-2279,828-65-8479,undisclosed,2021-09-07
361-12-1603,160-52-9413,undisclosed,2020-05-16
663-34-1862,657-75-3704,undisclosed,2018-01-17
840-62-7522,427-11-3858,undisclosed,2018-09-27
126-58-3092,471-73-3129,undisclosed,2020-10-27
996-65-4086,471-18-8819,undisclosed,2022-03-11
586-42-2408,635-75-8158,undisclosed,2018-05-02
943-46-7869,767-94-3690,undisclosed,2020-10-18
123-53-2839,351-30-2795,undisclosed,2021-05-03
515-10-7694,523-18-2245,undisclosed,2022-11-22
998-29-7463,543-44-8065,undisclosed,2018-03-03
761-62-2642,421-87-4374,undisclosed,2018-10-26
846-65-1068,651-66-2302,undisclosed,2021-08-13
129-91-7219,576-62-6846,undisclosed,2019-05-17
412-99-1175,698-44-1019,undisclosed,2019-03-06
389-13-2360,971-31-9246,undisclosed,2020-03-12
462-48-2304,454-66-3326,undisclosed,2019-12-26
225-87-5439,256-53-4802,undisclosed,2020-02-23
696-40-8089,796-99-8945,undisclosed,2020-01-03
960-97-1782,232-41-5890,undisclosed,2018-08-14
640-13-6315,349-56-4937,undisclosed,2020-12-21
918-13-5811,401-68-3247,undisclosed,2018-07-05
142-52-3156,406-79-5490,undisclosed,2020-12-22
249-93-5304,968-97-6499,undisclosed,2019-11-12
220-59-3045,963-24-8588,undisclosed,2021-01-25
354-43-1775,765-87-8708,undisclosed,2018-04-15
386-73-8971,322-41-8916,undisclosed,2019-03-10
913-59-4006,695-81-9138,undisclosed,2019-09-10
365-99-8824,377-89-5196,undisclosed,2018-10-16
516-30-3353,617-44-2299,undisclosed,2018-09-13
